"","X","clusters","birth_2008","death_2008","intra_2008","in_2008","out_2008","n_2008","birth_2009","death_2009","intra_2009","in_2009","out_2009","n_2009","birth_2010","death_2010","intra_2010","in_2010","out_2010","n_2010","birth_2011","death_2011","intra_2011","in_2011","out_2011","n_2011","birth_2012","death_2012","intra_2012","in_2012","out_2012","n_2012","birth_2013","death_2013","intra_2013","in_2013","out_2013","n_2013","birth_2014","death_2014","intra_2014","in_2014","out_2014","n_2014","birth_2015","death_2015","intra_2015","in_2015","out_2015","n_2015","birth_2016","death_2016","intra_2016","in_2016","out_2016","n_2016"
"1",1,1,22,18,49,NA,NA,74,12,22,43,NA,NA,60,24,15,41,NA,NA,71,19,29,35,NA,NA,57,23,NA,44,NA,NA,72,16,16,55,NA,NA,75,20,16,58,NA,NA,80,31,17,57,NA,NA,93,29,11,70,NA,NA,107
"2",2,10,14,11,77,NA,NA,94,26,19,71,NA,NA,97,41,38,52,NA,NA,97,52,37,53,NA,NA,108,41,18,82,NA,NA,129,35,22,97,NA,NA,137,41,30,102,NA,NA,147,33,30,109,NA,NA,146,43,18,117,NA,NA,166
"3",3,11,222,169,861,87,NA,1170,216,152,917,76,NA,1209,644,673,464,51,NA,1159,646,642,454,47,NA,1147,212,136,928,99,NA,1239,217,196,967,70,NA,1254,271,203,991,113,NA,1375,252,180,1120,100,NA,1472,225,226,1104,87,NA,1416
"4",4,12,130,124,564,46,NA,740,173,121,576,45,NA,794,415,411,333,36,NA,784,384,404,349,41,NA,774,199,105,597,62,NA,858,168,141,665,53,NA,886,219,158,678,56,NA,953,168,157,742,60,NA,970,205,178,739,54,NA,998
"5",5,13,67,55,166,18,NA,251,57,51,176,15,NA,248,120,122,101,16,NA,237,146,118,102,NA,NA,257,60,48,191,16,NA,267,86,43,207,14,NA,307,54,54,233,13,NA,300,62,42,232,38,NA,332,84,60,255,21,NA,360
"6",6,14,66,56,210,15,NA,291,53,52,213,20,NA,286,96,101,174,17,NA,287,92,94,173,16,NA,281,67,45,223,24,NA,314,62,54,242,21,NA,325,68,54,242,16,NA,326,72,58,241,12,NA,325,73,43,267,22,NA,362
"7",7,15,25,20,99,10,NA,134,24,21,100,13,NA,137,50,61,70,10,NA,130,48,63,56,11,NA,115,29,14,90,12,NA,131,30,25,99,NA,NA,136,28,22,101,NA,NA,137,23,28,96,NA,NA,124,25,NA,105,NA,NA,134
"8",8,16,47,26,122,NA,NA,178,50,28,132,12,NA,194,64,83,94,16,NA,174,59,60,99,11,NA,169,47,21,140,NA,NA,193,39,28,149,NA,NA,196,54,39,139,12,NA,205,34,45,154,10,NA,198,46,32,157,10,NA,213
"9",9,17,50,34,124,18,NA,192,40,42,142,24,NA,206,80,87,85,13,NA,178,79,78,83,22,NA,184,40,31,135,25,NA,200,43,37,149,13,NA,205,66,35,157,14,NA,237,79,44,172,29,NA,280,92,55,205,19,NA,316
"10",10,18,66,63,202,38,NA,306,49,49,235,23,NA,307,137,139,154,22,NA,313,137,132,150,19,NA,306,57,40,238,27,NA,322,57,46,260,33,NA,350,92,69,251,20,NA,363,73,50,297,26,NA,396,103,59,313,31,NA,447
"11",11,19,627,630,2875,247,NA,3749,736,591,2863,204,NA,3803,2043,2098,1490,182,NA,3715,1955,2031,1428,212,NA,3595,624,478,2834,212,NA,3670,637,541,2857,226,NA,3720,691,663,2785,225,NA,3701,686,558,2886,206,NA,3778,629,586,2889,230,NA,3748
"12",12,2,71,76,314,31,NA,416,61,52,345,30,NA,436,219,203,200,13,NA,432,187,231,188,20,NA,395,51,36,341,27,NA,419,61,56,337,24,NA,422,82,55,349,25,NA,456,61,48,376,21,NA,458,60,65,363,20,NA,443
"13",13,3,46,23,83,18,NA,147,29,29,99,NA,NA,133,43,49,69,NA,NA,120,40,34,71,NA,NA,118,26,27,81,15,NA,122,19,18,95,NA,NA,121,31,22,86,12,NA,129,40,23,96,11,NA,147,43,20,108,14,NA,165
"14",14,4,42,NA,96,11,NA,149,20,19,112,12,NA,144,49,42,89,NA,NA,146,42,49,72,NA,NA,117,31,12,95,15,NA,141,34,21,110,NA,NA,150,46,29,114,16,NA,176,35,21,144,11,NA,190,44,21,157,13,NA,214
"15",15,5,78,48,202,18,NA,298,52,54,216,20,NA,288,105,136,127,25,NA,257,123,119,126,20,NA,269,105,36,204,29,NA,338,96,85,226,37,NA,359,100,83,245,24,NA,369,280,82,260,11,NA,551,104,151,338,37,NA,479
"16",16,6,48,47,155,16,NA,219,25,35,169,12,NA,206,71,79,113,12,NA,196,72,63,118,16,NA,206,38,16,173,16,NA,227,51,39,172,NA,NA,231,41,28,184,NA,NA,234,48,29,191,13,NA,252,40,29,212,NA,NA,256
"17",17,7,66,78,400,35,NA,501,80,66,415,13,NA,508,311,298,199,17,NA,527,316,313,197,21,NA,534,77,61,453,25,NA,555,113,76,450,27,NA,590,95,95,455,23,NA,573,90,65,479,17,NA,586,98,100,472,20,NA,590
"18",18,8,30,34,155,10,NA,195,25,28,154,10,NA,189,79,82,95,NA,NA,177,81,76,94,NA,NA,181,45,22,146,NA,NA,196,37,34,158,NA,NA,202,34,27,168,NA,NA,205,33,35,162,NA,NA,201,41,30,163,NA,NA,212
"19",19,9,47,43,168,14,NA,229,39,41,170,11,NA,220,94,90,121,16,NA,231,108,88,123,24,NA,255,60,37,190,18,NA,268,48,45,203,21,NA,272,72,33,215,17,NA,304,69,49,235,14,NA,318,48,43,246,14,NA,308
