"","X","clusters","birth_2008","death_2008","intra_2008","in_2008","out_2008","n_2008","birth_2009","death_2009","intra_2009","in_2009","out_2009","n_2009","birth_2010","death_2010","intra_2010","in_2010","out_2010","n_2010","birth_2011","death_2011","intra_2011","in_2011","out_2011","n_2011","birth_2012","death_2012","intra_2012","in_2012","out_2012","n_2012","birth_2013","death_2013","intra_2013","in_2013","out_2013","n_2013","birth_2014","death_2014","intra_2014","in_2014","out_2014","n_2014","birth_2015","death_2015","intra_2015","in_2015","out_2015","n_2015","birth_2016","death_2016","intra_2016","in_2016","out_2016","n_2016"
"1",1,1,76367,72746,325878,4581,NA,406826,76010,65049,336049,4030,NA,416089,200517,207070,204175,3410,84,408102,200275,200578,202648,4105,NA,407028,85475,53932,347411,4071,NA,436957,78558,67384,363671,4256,10,446485,101472,70371,370354,4174,15,476000,99216,69841,400116,4325,11,503657,107245,73929,422557,5052,NA,534854
"2",2,2,31,18,76,NA,NA,108,25,16,89,NA,NA,116,76,80,33,NA,NA,110,75,78,31,NA,NA,108,NA,NA,96,NA,NA,105,14,NA,89,NA,NA,108,23,NA,94,NA,NA,125,19,15,109,NA,NA,130,24,18,108,NA,NA,134
"3",3,3,NA,10,99,NA,NA,108,NA,19,87,NA,NA,100,62,61,37,NA,NA,102,66,59,40,NA,NA,108,17,13,93,NA,NA,112,15,10,98,NA,NA,116,16,16,97,NA,NA,118,25,15,99,NA,NA,130,35,20,107,NA,NA,147
"4",4,4,26,59,370,NA,NA,405,25,73,327,NA,NA,356,119,129,217,110,NA,446,119,144,291,NA,NA,418,36,37,375,NA,NA,417,25,49,365,NA,NA,394,22,42,345,NA,NA,372,30,48,319,NA,NA,356,34,33,192,NA,131,231
