"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,74,4.25545146384289,2.92873777073224,NA,NA,NA,62,4.25683066947199,3.01588741015461,NA,NA,NA,42,4.1978242951968,2.58221750314531,NA,NA,NA,39,4.02926870441455,2.92496858526336,NA,NA,NA,85,3.79011516562772,1.82358089956639,NA,NA,NA,56,3.51483736677983,2.56236552725038,NA,NA,NA,93,4.08521848306783,2.65478655644951,NA,NA,NA,79,4.65265775258169,2.80480090072987,NA,NA,NA,66,5.27707090833152,3.57209022065363,NA,NA,NA
"4",4,40,3.91911528633032,2.89916628831015,NA,NA,NA,36,3.82758039078335,2.21643004193472,NA,NA,NA,26,4.17428914659242,2.9291789175791,NA,NA,NA,34,7.14678976046708,5.45815546484853,NA,NA,NA,59,3.81914601836871,1.42943122240352,NA,NA,NA,40,3.60957797958335,1.91835727102525,NA,NA,NA,38,5.26685757268502,4.04246445678245,NA,NA,NA,52,5.63048274452943,4.57444718160539,NA,NA,NA,45,5.22921107398884,3.80285669982112,NA,NA,NA
"5",5,15,3.99496554705403,3.2810671709582,NA,NA,NA,13,3.83214953375329,2.29105102154853,NA,NA,NA,12,5.29637058394494,5.1167035024073,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3.93706919205665,2.64118710667332,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.5387273472947,2.71147817265741,NA,NA,NA,30,3.50190864917452,2.76622948103813,NA,NA,NA,18,3.07830854607289,1.49211270267324,NA,NA,NA
"6",6,13,3.96053403859194,2.42244715335466,NA,NA,NA,18,3.78835476519292,2.61372894449788,NA,NA,NA,15,6.53188817862509,6.80429984437568,NA,NA,NA,14,3.75239318662273,2.4778499068185,NA,NA,NA,24,3.74614551017609,2.91380934844662,NA,NA,NA,20,4.87112129783206,3.70552669948674,NA,NA,NA,13,3.54540234950552,3.14438242302933,NA,NA,NA,11,3.71771905725362,2.58170519151839,NA,NA,NA,20,3.47862884578289,2.93504567965235,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA,11,6.38431575712975,4.61325385638543,NA,NA,NA,10,4.62973784189287,3.15105258284844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA,10,3.19399480355219,2.07786722965219,NA,NA,NA,13,4.88121290817465,3.77846481266515,NA,NA,NA,10,6.86978281513662,6.05330401303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4.18364832717922,2.30777112963514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,15,3.45041345587579,2.10686716694276,NA,NA,NA,19,5.39052769888565,4.99900496856153,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1.79078525444612,0.26165200896994,NA,NA,NA,22,4.82457305004595,3.71448281010217,NA,NA,NA,11,4.12598903753514,3.64229896272856,NA,NA,NA,11,5.52162689297291,2.87200688757525,NA,NA,NA,20,2.85842400261138,2.15077863542631,NA,NA,NA,13,5.29182640592732,4.37104607388826,NA,NA,NA
"10",10,33,3.21673729512866,1.63382086617327,NA,NA,NA,20,3.43538218155444,1.86172662023597,NA,NA,NA,19,3.74099889361052,1.47056022351235,NA,NA,NA,15,4.55085304137713,3.54933915055669,NA,NA,NA,24,5.26598589664778,5.2889485907426,NA,NA,NA,29,3.95329939586142,2.83349944312934,NA,NA,NA,19,6.25968878770614,3.93463583283051,NA,NA,NA,23,3.52035242227413,1.69848793589689,NA,NA,NA,26,3.83843770167913,2.34766611184373,NA,NA,NA
"11",11,198,3.51667627060517,1.35650618011622,NA,NA,NA,162,3.20189684812477,1.20443740965008,NA,NA,NA,149,4.30971141513705,3.00929545013205,NA,NA,NA,173,3.65255922993377,2.06671027999194,NA,NA,NA,166,3.27217446819815,1.28215199660487,NA,NA,NA,191,4.01646580509358,1.9646177041653,NA,NA,NA,195,3.15920236182012,1.35324200751383,NA,NA,NA,178,3.67484493520533,2.16047151846245,NA,NA,NA,195,3.60763732721797,1.87036312554422,NA,NA,NA
"12",12,29,3.2208511617611,2.01127714792236,NA,NA,NA,27,4.96832492456547,4.3992375049322,NA,NA,NA,12,5.27652964053903,4.3785293457301,NA,NA,NA,18,4.1327801917871,1.44682889933163,NA,NA,NA,24,3.22150771636491,1.61799449221615,NA,NA,NA,20,5.41318014626957,4.30388474775488,NA,NA,NA,20,3.81260995970385,3.5539788697862,NA,NA,NA,18,3.60762619881974,3.33454700445642,NA,NA,NA,18,4.49041896261285,3.80660924132028,NA,NA,NA
"13",13,14,4.37065987683259,3.33872687984941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3.88165305103237,2.01210245121458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.35989866973719,2.36469795618707,NA,NA,NA,14,6.0300005029795,3.90820104052812,NA,NA,NA
"14",14,10,2.81011811820601,2.58477249426948,NA,NA,NA,10,4.54820841338691,4.02390729957579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2.38000666610968,1.94800829143411,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3.86379312118278,1.510629582544,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3.16926374694639,2.22032667421053,NA,NA,NA
"15",15,16,2.25435997915596,1.16016602196987,NA,NA,NA,16,3.55075777523352,1.9763939967879,NA,NA,NA,22,5.99609540246931,5.00619750159052,NA,NA,NA,17,5.38344444640967,3.01681806347832,NA,NA,NA,24,4.74236124528634,4.26923091778293,NA,NA,NA,30,6.43898229491326,4.15533413315084,NA,NA,NA,19,6.15170256257974,4.78229552552414,NA,NA,NA,10,4.31830999878247,3.15461264893572,NA,NA,NA,30,6.65175062033067,5.89347268203514,NA,NA,NA
