"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"1",1,3153,5.22288224810465,3.44194109908223,1449,5.59470237197495,3.84831711839332,2884,5.49863561409037,3.47809559901641,1274,5.79094924318803,4.13204164584918,2342,5.86305326082603,3.83254752050392,1040,5.80472032244238,4.20431960377229,2475,5.58562264784285,3.59275863602896,1229,5.70495339681036,4.00293073622859,2923,5.57987161310334,3.40936511175384,1384,5.63544337683564,3.59873442577637,2863,5.81988618433877,3.53474232294782,1396,5.25574685544017,3.34606704494263,2911,5.67352674611739,3.44194109908223,1357,5.12174205600771,3.43176552309643,3071,5.69244179923422,3.45672676292298,1475,5.06870684828669,3.44194109908223,3624,5.80779840279342,3.64180243074603,1594,5.47308495112772,3.81715556494556
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8.34449175983157,8.88259947073095,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4.77445661393345,3.12431260871722,NA,NA,NA,12,9.31525022887927,7.77456590311659,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3.04710076556541,3.40432682544664,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,174,5.50528409820674,4.82148329496074,99,6.21064550739597,5.96989667100547,148,5.48594326735838,4.80922371254478,109,5.53823153314261,4.37589411862466,129,5.16550650399878,3.58577691768087,85,5.42638175498228,4.55780340087886,135,5.56526158933596,4.41628424841287,74,7.02396509268896,6.6708223347527,137,4.78776456176124,3.39135441150878,101,6.71875196675002,6.16600708348398,114,4.9022825691542,4.17877150790397,123,6.26155796520299,6.96304631325325,106,5.5573486882176,4.36976960291507,75,6.03554653092219,5.48341845402232,141,5.29200506205778,4.24725212218807,93,6.54049293955161,5.99948774206447,131,5.25960526139328,4.52168984667464,92,5.70176821642121,5.30952077589322
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,38,5.20023463734021,3.03751009367878,15,9.24859171948398,9.66540356755208,31,6.91875657104543,5.24814030571751,15,8.21919516105416,8.95742538504384,47,5.86821975736166,3.38538547249276,17,9.28505221148579,8.42409307943902,18,7.65571153615563,4.8962556457342,11,8.03399546380622,9.61904900891132,36,6.32099437498694,4.53079012409882,16,6.10422908925063,4.64576467860396,30,5.23727079182523,3.26616970468927,24,8.16136436965066,6.42057594557486,25,5.462551167292,3.69309272660228,13,5.04519495510983,4.93396625224804,31,4.72957151297159,2.49935778525878,18,6.55190249020856,6.95082690620185,30,7.95321303142308,6.26305504109749,19,8.29060337711798,6.38197059479806
"17",17,13,9.21100553088892,10.2508305961418,NA,NA,NA,15,7.62047938771961,5.52116644441811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6.72048165610868,5.95948521677823,NA,NA,NA,13,7.3933306380167,4.45058334908963,NA,NA,NA,12,5.30386001639795,2.87880109989703,NA,NA,NA,12,5.42151138414847,4.89852118106909,NA,NA,NA,20,5.84507369104789,3.97180581172042,NA,NA,NA
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5.69528470284069,4.5475797045092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,10,2.13536799845035,2.06549781780793,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.75477485898307,4.28544967842922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,21,4.1500503957862,2.30004595521128,17,4.95938921296866,2.59378232459505,10,4.76098435980572,2.71849319256894,14,4.37506319416968,2.72972820031112,13,2.97881929921152,1.85774650052129,NA,NA,NA,13,3.35837174407911,2.32263057094103,NA,NA,NA,16,5.66602760724613,5.5371788176994,NA,NA,NA,17,4.00320060498622,3.14027639338622,NA,NA,NA,16,4.57938272366505,2.32025496893594,NA,NA,NA,16,2.74148089564045,1.63438636289474,16,5.24502147830579,2.4132295338461,13,4.12502324312553,1.51059579255638,11,6.68344568084363,6.15766335188688
