"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"1",1,169,6.62166680931828,4.84290095014767,11,7.45728836223415,2.47889180096036,112,8.04788471502115,5.00173253168288,NA,NA,NA,97,8.00227458302007,5.5881632422083,85,12.5044743155902,12.558240132506,94,8.42184529762804,6.30908538319752,11,6.7575098030656,3.28401393463045,144,7.44725879404644,4.74610203569928,NA,NA,NA,132,6.65654735892328,3.54355918144671,11,6.97394763581381,8.29721286958458,128,6.76403540667023,4.48504530963196,17,10.0608071401177,8.47602082280153,130,7.1372776370174,4.68381839951385,12,7.0278985917866,5.88346591506078,267,5.05681979383477,1.37838951281854,12,6.62229536758946,5.03200384723824
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,12.4451999648791,12.558240132506,NA,NA,NA,10,7.30664987475973,3.6793342768235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,1.61037089314147,1.37838951281854
"5",5,185,6.61084117830499,4.60425394602322,185,6.61084117830499,4.60425394602322,124,7.88768996523792,4.96490666991881,124,7.88768996523792,4.96490666991881,188,10.060572833957,9.48472620895227,188,10.060572833957,9.48472620895227,105,8.24748634105483,6.00341451127799,105,8.24748634105483,6.00341451127799,156,7.29889923921758,4.69163784470206,156,7.29889923921758,4.69163784470206,148,6.61281599306023,3.53455645552693,148,6.61281599306023,3.53455645552693,150,7.19038299501349,4.58117015366065,150,7.19038299501349,4.58117015366065,147,7.09998581145453,4.68962688852535,147,7.09998581145453,4.68962688852535,284,5.11862478625312,1.37838951281854,284,5.11862478625312,1.37838951281854
