"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"1",1,226,6.41096152889354,4.55692294373683,NA,NA,NA,170,7.93675565815333,5.12696709348369,NA,NA,NA,133,8.00917929662228,5.5881632422083,84,12.5588397312,12.558240132506,141,8.10403234043083,5.85699754268731,NA,NA,NA,205,7.04320900841977,4.55845847994348,NA,NA,NA,191,7.06082529052484,4.07196598204444,10,7.63601252093617,8.46265381808364,198,6.77895253675335,4.34811994535116,15,10.7535181756109,9.36875432003598,219,7.16668142459683,4.44394039338491,11,7.4358201463943,7.01581528776242,363,5.93322790195823,1.96763549031769,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,12.5001685082999,12.558240132506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,1.60452418055058,1.37838951281854
"5",5,248,6.32751805507498,4.36874696771495,248,6.32751805507498,4.36874696771495,185,7.80871664761383,5.02229528613764,185,7.80871664761383,5.02229528613764,228,9.57353349892891,8.80485719364201,228,9.57353349892891,8.80485719364201,151,8.1384586764877,5.76623664973613,151,8.1384586764877,5.76623664973613,221,6.87258600368753,4.15865256472594,221,6.87258600368753,4.15865256472594,217,6.80614747518803,3.77046917562195,217,6.80614747518803,3.77046917562195,224,6.9890538402725,4.23569544433522,224,6.9890538402725,4.23569544433522,240,7.2293302251357,4.45885518941243,240,7.2293302251357,4.45885518941243,385,5.96874766774211,2.07309099748721,385,5.96874766774211,2.07309099748721
