"","X","clusters","birth_2008","death_2008","intra_2008","in_2008","out_2008","n_2008","birth_2009","death_2009","intra_2009","in_2009","out_2009","n_2009","birth_2010","death_2010","intra_2010","in_2010","out_2010","n_2010","birth_2011","death_2011","intra_2011","in_2011","out_2011","n_2011","birth_2012","death_2012","intra_2012","in_2012","out_2012","n_2012","birth_2013","death_2013","intra_2013","in_2013","out_2013","n_2013","birth_2014","death_2014","intra_2014","in_2014","out_2014","n_2014","birth_2015","death_2015","intra_2015","in_2015","out_2015","n_2015","birth_2016","death_2016","intra_2016","in_2016","out_2016","n_2016"
"1",1,1,76752,73121,327927,4544,11,409223,76389,65430,338088,3996,NA,418473,201838,208444,205205,3395,85,410438,201743,201878,203703,4073,11,409519,86128,54336,349531,4038,NA,439697,78975,67769,366065,4227,11,449267,102022,70704,372841,4124,17,478987,99919,70428,402539,4263,12,506721,107838,74340,425255,4979,12,538072
"2",2,2,31,18,76,NA,NA,108,25,16,89,NA,NA,116,76,80,33,NA,NA,110,75,78,31,NA,NA,108,NA,NA,96,NA,NA,105,14,NA,89,NA,NA,108,23,NA,94,NA,NA,125,19,15,109,NA,NA,130,24,18,108,NA,NA,134
"3",3,3,NA,10,99,NA,NA,108,NA,19,87,NA,NA,100,62,61,37,NA,NA,102,66,59,40,NA,NA,108,17,13,93,NA,NA,112,15,10,98,NA,NA,116,16,16,97,NA,NA,118,25,15,99,NA,NA,130,35,20,107,NA,NA,147
"4",4,4,32,59,404,11,NA,447,28,77,364,NA,NA,396,131,145,240,112,NA,483,133,160,311,10,NA,454,44,40,404,NA,NA,454,33,53,397,NA,NA,436,28,52,375,NA,NA,410,41,55,347,NA,NA,396,45,36,227,NA,133,280
