"id_point","id_cluster"
"E01000002","1"
"E01000001","1"
"E01000005","1"
"E01000012","2"
"E01000007","2"
"E01000074","3"
"E01000024","3"
"E01000078","4"
"E01000077","4"
"E01000084","5"
"E01000013","5"
"E01000085","6"
"E01000053","6"
"E01000102","7"
"E01000020","7"
"E01000105","6"
"E01000117","8"
"E01000116","8"
"E01000122","9"
"E01000118","9"
"E01000127","10"
"E01000126","10"
"E01000128","10"
"E01000140","11"
"E01000135","11"
"E01000165","12"
"E01000163","12"
"E01000171","13"
"E01000170","13"
"E01000179","14"
"E01000178","14"
"E01000180","14"
"E01000181","15"
"E01000177","15"
"E01000191","16"
"E01000186","16"
"E01000193","17"
"E01000192","17"
"E01000200","18"
"E01000199","18"
"E01000201","18"
"E01000196","18"
"E01000202","18"
"E01000203","19"
"E01000197","19"
"E01000204","18"
"E01000207","18"
"E01000144","18"
"E01000210","20"
"E01000209","20"
"E01000211","18"
"E01000213","21"
"E01000206","21"
"E01000208","21"
"E01000214","11"
"E01000136","11"
"E01000145","11"
"E01000216","22"
"E01000212","22"
"E01000218","18"
"E01000220","22"
"E01000222","23"
"E01000138","23"
"E01000223","24"
"E01000141","24"
"E01000225","18"
"E01000217","18"
"E01000230","25"
"E01000227","25"
"E01000234","25"
"E01000237","18"
"E01000236","18"
"E01000245","18"
"E01000247","26"
"E01000169","26"
"E01000246","26"
"E01000252","26"
"E01000258","27"
"E01000235","27"
"E01000265","9"
"E01000267","28"
"E01000251","28"
"E01000270","29"
"E01000269","29"
"E01000272","28"
"E01000281","30"
"E01000266","30"
"E01000286","31"
"E01000285","31"
"E01000292","32"
"E01000250","32"
"E01000296","18"
"E01000295","18"
"E01000297","19"
"E01000301","33"
"E01000300","33"
"E01000303","33"
"E01000311","18"
"E01000314","34"
"E01000310","34"
"E01000317","35"
"E01000299","35"
"E01000319","36"
"E01000176","36"
"E01000320","30"
"E01000302","30"
"E01000321","30"
"E01000346","37"
"E01000345","37"
"E01000350","38"
"E01000343","38"
"E01000364","39"
"E01000363","39"
"E01000370","40"
"E01000369","40"
"E01000390","39"
"E01000399","41"
"E01000395","41"
"E01000413","42"
"E01000412","42"
"E01000425","43"
"E01000424","43"
"E01000436","44"
"E01000359","44"
"E01000437","44"
"E01000443","45"
"E01000351","45"
"E01000446","46"
"E01000348","46"
"E01000449","47"
"E01000448","47"
"E01000456","48"
"E01000452","48"
"E01000459","49"
"E01000428","49"
"E01000463","37"
"E01000464","50"
"E01000418","50"
"E01000475","51"
"E01000472","51"
"E01000478","52"
"E01000477","52"
"E01000499","53"
"E01000498","53"
"E01000505","54"
"E01000504","54"
"E01000534","1"
"E01000493","1"
"E01000532","1"
"E01000540","55"
"E01000536","55"
"E01000549","1"
"E01000547","1"
"E01000555","54"
"E01000558","11"
"E01000489","11"
"E01000559","56"
"E01000495","56"
"E01000560","54"
"E01000572","57"
"E01000538","57"
"E01000580","1"
"E01000581","56"
"E01000582","58"
"E01000490","58"
"E01000584","58"
"E01000586","59"
"E01000531","59"
"E01000588","60"
"E01000131","60"
"E01000587","60"
"E01000591","61"
"E01000517","61"
"E01000593","60"
"E01000608","62"
"E01000564","62"
"E01000609","63"
"E01000567","63"
"E01000613","64"
"E01000571","64"
"E01000623","65"
"E01000479","65"
"E01000624","66"
"E01000622","66"
"E01000626","65"
"E01000483","65"
"E01000634","62"
"E01000638","67"
"E01000508","67"
"E01000639","54"
"E01000641","68"
"E01000512","68"
"E01000642","69"
"E01000556","69"
"E01000665","70"
"E01000662","70"
"E01000669","71"
"E01000668","71"
"E01000683","72"
"E01000681","72"
"E01000701","73"
"E01000700","73"
"E01000713","74"
"E01000673","74"
"E01000712","74"
"E01000716","74"
"E01000743","75"
"E01000705","75"
"E01000767","76"
"E01000766","76"
"E01000783","77"
"E01000691","77"
"E01000786","78"
"E01000685","78"
"E01000797","79"
"E01000703","79"
"E01000810","80"
"E01000732","80"
"E01000828","81"
"E01000717","81"
"E01000829","81"
"E01000840","82"
"E01000839","82"
"E01000849","1"
"E01000842","1"
"E01000848","1"
"E01000851","1"
"E01000850","1"
"E01000852","1"
"E01000854","1"
"E01000855","1"
"E01000857","1"
"E01000860","1"
"E01000861","1"
"E01000856","1"
"E01000859","1"
"E01000862","1"
"E01000863","83"
"E01000858","83"
"E01000866","84"
"E01000865","84"
"E01000869","1"
"E01000864","1"
"E01000871","11"
"E01000876","11"
"E01000561","11"
"E01000877","11"
"E01000873","11"
"E01000880","11"
"E01000874","11"
"E01000881","11"
"E01000844","11"
"E01000882","1"
"E01000884","11"
"E01000885","11"
"E01000897","85"
"E01000879","85"
"E01000898","1"
"E01000845","1"
"E01000899","11"
"E01000900","1"
"E01000902","86"
"E01000870","86"
"E01000903","1"
"E01000887","1"
"E01000904","83"
"E01000906","1"
"E01000910","1"
"E01000886","1"
"E01000915","1"
"E01000918","1"
"E01000919","1"
"E01000922","1"
"E01000923","1"
"E01000924","1"
"E01000925","1"
"E01000926","1"
"E01000921","1"
"E01000927","1"
"E01000928","1"
"E01000929","1"
"E01000883","1"
"E01000930","1"
"E01000548","1"
"E01000932","11"
"E01000933","1"
"E01000935","11"
"E01000936","1"
"E01000917","1"
"E01000941","1"
"E01000938","1"
"E01000942","87"
"E01000939","87"
"E01000943","1"
"E01000947","1"
"E01000867","1"
"E01000948","1"
"E01000949","1"
"E01000952","1"
"E01000954","1"
"E01000958","88"
"E01000957","88"
"E01000960","11"
"E01000962","11"
"E01000964","11"
"E01000965","11"
"E01000966","11"
"E01000967","1"
"E01000968","11"
"E01000969","11"
"E01000970","11"
"E01000971","11"
"E01000979","89"
"E01000975","89"
"E01000982","90"
"E01000981","90"
"E01000987","91"
"E01000986","91"
"E01000992","92"
"E01000991","92"
"E01001011","93"
"E01001005","93"
"E01001030","94"
"E01001028","94"
"E01001038","95"
"E01001035","95"
"E01001040","96"
"E01001034","96"
"E01001050","97"
"E01001044","97"
"E01001046","97"
"E01001062","91"
"E01001074","98"
"E01001029","98"
"E01001090","99"
"E01001083","99"
"E01001086","99"
"E01001099","100"
"E01001073","100"
"E01001100","96"
"E01001110","101"
"E01001012","101"
"E01001132","102"
"E01000985","102"
"E01001140","103"
"E01001138","103"
"E01001143","104"
"E01000704","104"
"E01001152","105"
"E01001000","105"
"E01001154","106"
"E01001111","106"
"E01001168","107"
"E01001167","107"
"E01001170","108"
"E01001047","108"
"E01001171","109"
"E01001166","109"
"E01001180","110"
"E01001007","110"
"E01001182","111"
"E01000995","111"
"E01001183","111"
"E01001211","112"
"E01001208","112"
"E01001223","112"
"E01001224","112"
"E01001207","112"
"E01001227","112"
"E01001228","112"
"E01001235","1"
"E01001231","1"
"E01001234","1"
"E01001236","1"
"E01001230","1"
"E01001238","113"
"E01001196","113"
"E01001241","114"
"E01001198","114"
"E01001242","115"
"E01001200","115"
"E01001245","116"
"E01001244","116"
"E01001255","117"
"E01001250","117"
"E01001251","117"
"E01001273","1"
"E01001274","1"
"E01001275","112"
"E01001237","112"
"E01001279","112"
"E01001281","112"
"E01001296","118"
"E01001295","118"
"E01001302","119"
"E01001299","119"
"E01001306","120"
"E01001305","120"
"E01001310","121"
"E01001309","121"
"E01001328","122"
"E01001326","122"
"E01001336","123"
"E01001335","123"
"E01001344","124"
"E01001343","124"
"E01001346","124"
"E01001347","124"
"E01001349","125"
"E01001283","125"
"E01001350","1"
"E01001354","1"
"E01001352","1"
"E01001361","126"
"E01001359","126"
"E01001362","127"
"E01001333","127"
"E01001375","1"
"E01001374","1"
"E01001376","1"
"E01001379","1"
"E01001377","1"
"E01001382","120"
"E01001300","120"
"E01001383","120"
"E01001289","120"
"E01001385","119"
"E01001384","119"
"E01001386","1"
"E01001387","1"
"E01001229","1"
"E01001389","119"
"E01001392","128"
"E01001390","128"
"E01001400","129"
"E01001399","129"
"E01001418","130"
"E01000172","130"
"E01001421","130"
"E01001436","131"
"E01001435","131"
"E01001459","132"
"E01001423","132"
"E01001462","132"
"E01001474","133"
"E01001457","133"
"E01001472","133"
"E01001480","132"
"E01001500","134"
"E01001395","134"
"E01001501","135"
"E01001495","135"
"E01001508","136"
"E01001503","136"
"E01001511","136"
"E01001513","136"
"E01001516","136"
"E01001521","130"
"E01001520","130"
"E01001524","130"
"E01001525","130"
"E01001530","128"
"E01001527","128"
"E01001531","130"
"E01001532","130"
"E01001543","137"
"E01001538","137"
"E01001550","131"
"E01001563","130"
"E01001565","138"
"E01001496","138"
"E01001566","138"
"E01001567","139"
"E01001454","139"
"E01001568","130"
"E01001578","140"
"E01001575","140"
"E01001577","140"
"E01001593","141"
"E01001592","141"
"E01001596","77"
"E01001614","42"
"E01001645","142"
"E01001623","142"
"E01001647","143"
"E01001582","143"
"E01001652","144"
"E01001651","144"
"E01001656","143"
"E01001658","145"
"E01001657","145"
"E01001664","146"
"E01001662","146"
"E01001665","146"
"E01001675","147"
"E01001673","147"
"E01001682","148"
"E01001610","148"
"E01001683","149"
"E01001636","149"
"E01001694","150"
"E01001692","150"
"E01001696","151"
"E01001629","151"
"E01001698","152"
"E01001633","152"
"E01001702","153"
"E01001686","153"
"E01001718","154"
"E01001716","154"
"E01001727","155"
"E01001724","155"
"E01001734","1"
"E01001731","1"
"E01001737","1"
"E01001736","1"
"E01001738","156"
"E01001720","156"
"E01001742","1"
"E01001745","1"
"E01001747","1"
"E01001753","1"
"E01001750","1"
"E01001754","1"
"E01001752","1"
"E01001756","1"
"E01001751","1"
"E01001759","157"
"E01001746","157"
"E01001760","1"
"E01001748","1"
"E01001761","1"
"E01001744","1"
"E01001764","1"
"E01001768","1"
"E01001773","1"
"E01001774","1"
"E01001775","1"
"E01001776","1"
"E01001777","1"
"E01001755","1"
"E01001779","1"
"E01001782","1"
"E01001781","1"
"E01001784","1"
"E01001787","158"
"E01001735","158"
"E01001789","158"
"E01001767","158"
"E01001792","158"
"E01001793","1"
"E01001785","1"
"E01001788","1"
"E01001794","158"
"E01001795","1"
"E01001733","1"
"E01001796","1"
"E01001805","155"
"E01001806","159"
"E01001741","159"
"E01001807","160"
"E01001799","160"
"E01001808","160"
"E01001800","160"
"E01001814","160"
"E01001815","1"
"E01001749","1"
"E01001819","1"
"E01001823","160"
"E01001824","161"
"E01001728","161"
"E01001825","160"
"E01001829","1"
"E01001739","1"
"E01001834","1"
"E01001835","1"
"E01001836","1"
"E01001842","1"
"E01001843","1"
"E01001837","1"
"E01001848","162"
"E01001844","162"
"E01001854","1"
"E01001852","1"
"E01001855","1"
"E01001853","1"
"E01001857","163"
"E01001856","163"
"E01001864","116"
"E01001871","1"
"E01001872","1"
"E01001870","1"
"E01001883","1"
"E01001882","1"
"E01001888","1"
"E01001889","1"
"E01001887","1"
"E01001890","1"
"E01001867","1"
"E01001886","1"
"E01001892","1"
"E01001891","1"
"E01001893","1"
"E01001894","1"
"E01001897","1"
"E01001895","1"
"E01001898","1"
"E01001873","1"
"E01001899","1"
"E01001900","1"
"E01001866","1"
"E01001901","1"
"E01001902","1"
"E01001879","1"
"E01001904","1"
"E01001906","1"
"E01001907","1"
"E01001908","1"
"E01001909","1"
"E01001910","1"
"E01001912","164"
"E01001884","164"
"E01001913","1"
"E01001914","1"
"E01001915","1"
"E01001905","1"
"E01001916","1"
"E01001918","1"
"E01001919","1"
"E01001922","1"
"E01001924","1"
"E01001923","1"
"E01001925","1"
"E01001926","1"
"E01001927","1"
"E01001861","1"
"E01001928","1"
"E01001862","1"
"E01001896","1"
"E01001929","1"
"E01001863","1"
"E01001930","1"
"E01001933","1"
"E01001935","1"
"E01001937","1"
"E01001920","1"
"E01001938","1"
"E01001939","1"
"E01001934","1"
"E01001941","163"
"E01001860","163"
"E01001942","165"
"E01001858","165"
"E01001946","1"
"E01001948","1"
"E01001881","1"
"E01001949","1"
"E01001950","1"
"E01001952","1"
"E01001953","166"
"E01001921","166"
"E01001954","167"
"E01001243","167"
"E01001956","1"
"E01001960","116"
"E01001945","116"
"E01001962","168"
"E01000157","168"
"E01001966","1"
