"","X","clusters","birth_2008","death_2008","intra_2008","in_2008","out_2008","n_2008","birth_2009","death_2009","intra_2009","in_2009","out_2009","n_2009","birth_2010","death_2010","intra_2010","in_2010","out_2010","n_2010","birth_2011","death_2011","intra_2011","in_2011","out_2011","n_2011","birth_2012","death_2012","intra_2012","in_2012","out_2012","n_2012","birth_2013","death_2013","intra_2013","in_2013","out_2013","n_2013","birth_2014","death_2014","intra_2014","in_2014","out_2014","n_2014","birth_2015","death_2015","intra_2015","in_2015","out_2015","n_2015","birth_2016","death_2016","intra_2016","in_2016","out_2016","n_2016"
"1",1,1,77118,73491,330205,4499,NA,411822,76788,65816,340350,3970,NA,421108,203446,210046,206322,3388,NA,413156,203366,203523,204789,4042,NA,412197,86519,54614,351943,3991,NA,442453,82127,68113,368607,4183,NA,454917,105153,72632,376595,4083,NA,485831,103534,72807,407044,4218,NA,514796,109934,76045,431670,4822,NA,546426
"2",2,2,31,18,76,NA,NA,108,25,16,89,NA,NA,116,76,80,33,NA,NA,110,75,78,31,NA,NA,108,NA,NA,96,NA,NA,105,14,NA,89,NA,NA,108,23,NA,94,NA,NA,125,19,15,109,NA,NA,130,24,18,108,NA,NA,134
"3",3,3,NA,NA,13,NA,NA,16,NA,NA,13,NA,NA,17,NA,NA,10,NA,NA,18,NA,NA,12,NA,NA,19,NA,NA,15,NA,NA,16,NA,NA,14,NA,NA,16,NA,NA,13,NA,NA,15,NA,NA,11,NA,NA,20,10,NA,11,NA,NA,21
