"id_point","id_cluster"
"E01000002","1"
"E01000001","1"
"E01000117","2"
"E01000116","2"
"E01000165","3"
"E01000163","3"
"E01000179","4"
"E01000178","4"
"E01000193","5"
"E01000192","5"
"E01000200","6"
"E01000199","6"
"E01000201","7"
"E01000196","7"
"E01000218","8"
"E01000144","8"
"E01000225","7"
"E01000247","9"
"E01000246","9"
"E01000286","10"
"E01000285","10"
"E01000297","11"
"E01000197","11"
"E01000311","12"
"E01000245","12"
"E01000314","13"
"E01000310","13"
"E01000399","14"
"E01000395","14"
"E01000436","15"
"E01000359","15"
"E01000464","16"
"E01000418","16"
"E01000499","17"
"E01000498","17"
"E01000549","18"
"E01000547","18"
"E01000555","19"
"E01000504","19"
"E01000584","20"
"E01000582","20"
"E01000593","21"
"E01000587","21"
"E01000608","22"
"E01000564","22"
"E01000638","23"
"E01000508","23"
"E01000639","19"
"E01000669","24"
"E01000668","24"
"E01000701","25"
"E01000700","25"
"E01000797","26"
"E01000703","26"
"E01000828","27"
"E01000717","27"
"E01000852","28"
"E01000851","28"
"E01000854","29"
"E01000850","29"
"E01000855","29"
"E01000863","30"
"E01000858","30"
"E01000866","31"
"E01000865","31"
"E01000876","32"
"E01000561","32"
"E01000877","33"
"E01000871","33"
"E01000882","34"
"E01000849","34"
"E01000884","35"
"E01000880","35"
"E01000904","30"
"E01000919","29"
"E01000923","36"
"E01000869","36"
"E01000924","36"
"E01000925","36"
"E01000926","36"
"E01000927","36"
"E01000928","36"
"E01000930","37"
"E01000548","37"
"E01000932","32"
"E01000936","38"
"E01000917","38"
"E01000942","39"
"E01000939","39"
"E01000943","40"
"E01000941","40"
"E01000954","41"
"E01000947","41"
"E01000958","42"
"E01000957","42"
"E01000962","43"
"E01000935","43"
"E01000966","44"
"E01000964","44"
"E01000968","32"
"E01000969","45"
"E01000874","45"
"E01000960","45"
"E01000970","45"
"E01000987","46"
"E01000986","46"
"E01001011","47"
"E01001005","47"
"E01001050","48"
"E01001046","48"
"E01001090","49"
"E01001086","49"
"E01001154","50"
"E01001111","50"
"E01001170","51"
"E01001047","51"
"E01001180","52"
"E01001007","52"
"E01001183","53"
"E01001182","53"
"E01001238","54"
"E01001196","54"
"E01001302","55"
"E01001299","55"
"E01001336","56"
"E01001335","56"
"E01001347","57"
"E01001343","57"
"E01001350","58"
"E01001273","58"
"E01001379","59"
"E01001374","59"
"E01001436","60"
"E01001435","60"
"E01001474","61"
"E01001472","61"
"E01001508","62"
"E01001503","62"
"E01001511","62"
"E01001531","63"
"E01001521","63"
"E01001543","64"
"E01001538","64"
"E01001566","65"
"E01001565","65"
"E01001593","66"
"E01001592","66"
"E01001682","67"
"E01001610","67"
"E01001742","68"
"E01001737","68"
"E01001753","69"
"E01001750","69"
"E01001754","69"
"E01001752","69"
"E01001776","69"
"E01001774","69"
"E01001808","70"
"E01001800","70"
"E01001814","70"
"E01001819","71"
"E01001744","71"
"E01001773","71"
"E01001825","70"
"E01001835","68"
"E01001745","68"
"E01001854","72"
"E01001852","72"
"E01001864","73"
"E01001245","73"
"E01001890","74"
"E01001886","74"
"E01001898","75"
"E01001889","75"
"E01001900","76"
"E01001891","76"
"E01001901","77"
"E01001882","77"
"E01001902","77"
"E01001879","77"
"E01001904","77"
"E01001909","78"
"E01001883","78"
"E01001910","75"
"E01001908","75"
"E01001918","77"
"E01001919","77"
"E01001907","77"
"E01001950","79"
"E01001922","79"
"E01001952","77"
"E01001960","73"
"E01001945","73"
"E01001967","80"
"E01001966","80"
"E01001968","80"
"E01001987","81"
"E01001984","81"
"E01002006","81"
"E01002009","82"
"E01002007","82"
"E01002021","80"
"E01002055","83"
"E01002050","83"
"E01002056","84"
"E01002046","84"
"E01002061","85"
"E01002060","85"
"E01002072","86"
"E01002053","86"
"E01002076","87"
"E01002074","87"
"E01002086","88"
"E01002084","88"
"E01002087","89"
"E01002048","89"
"E01002109","90"
"E01002107","90"
"E01002111","91"
"E01002110","91"
"E01002148","92"
"E01002147","92"
"E01002164","93"
"E01002159","93"
"E01002171","94"
"E01002170","94"
"E01002179","95"
"E01002130","95"
"E01002184","96"
"E01002180","96"
"E01002236","97"
"E01002234","97"
"E01002239","98"
"E01002238","98"
"E01002240","99"
"E01002237","99"
"E01002359","100"
"E01002275","100"
"E01002568","101"
"E01002566","101"
"E01002571","102"
"E01002569","102"
"E01002573","103"
"E01001377","103"
"E01002575","104"
"E01001933","104"
"E01002648","105"
"E01002646","105"
"E01002692","106"
"E01002687","106"
"E01002700","107"
"E01002699","107"
"E01002704","69"
"E01000003","69"
"E01002707","108"
"E01002702","108"
"E01002710","109"
"E01002697","109"
"E01002711","40"
"E01002718","69"
"E01002720","69"
"E01002725","108"
"E01002729","110"
"E01002727","110"
"E01002743","111"
"E01001736","111"
"E01002745","112"
"E01002744","112"
"E01002757","113"
"E01002005","113"
"E01002759","114"
"E01002754","114"
"E01002765","115"
"E01002762","115"
"E01002775","69"
"E01002778","116"
"E01001756","116"
"E01002780","69"
"E01002789","117"
"E01002788","117"
"E01002792","118"
"E01002790","118"
"E01002791","118"
"E01002794","118"
"E01002798","69"
"E01001779","69"
"E01001782","69"
"E01002800","69"
"E01002806","119"
"E01002756","119"
"E01002814","120"
"E01002813","120"
"E01002817","120"
"E01002822","121"
"E01002820","121"
"E01002821","121"
"E01002826","122"
"E01002816","122"
"E01002833","123"
"E01002831","123"
"E01002832","123"
"E01002838","124"
"E01002836","124"
"E01002843","125"
"E01001921","125"
"E01002845","121"
"E01002844","121"
"E01002846","126"
"E01001881","126"
"E01002847","126"
"E01002848","127"
"E01002815","127"
"E01002849","126"
"E01002850","122"
"E01002855","123"
"E01002859","128"
"E01002818","128"
"E01002860","129"
"E01002858","129"
"E01002864","120"
"E01002865","122"
"E01002866","72"
"E01002872","130"
"E01002869","130"
"E01002883","123"
"E01002886","131"
"E01002827","131"
"E01002884","131"
"E01002892","132"
"E01002835","132"
"E01002894","133"
"E01001880","133"
"E01002899","121"
"E01002902","128"
"E01002903","134"
"E01002861","134"
"E01002906","135"
"E01002878","135"
"E01002908","136"
"E01002876","136"
"E01002909","136"
"E01002912","121"
"E01002895","121"
"E01002914","121"
"E01002949","137"
"E01002947","137"
"E01002972","138"
"E01002935","138"
"E01002990","139"
"E01002967","139"
"E01002989","139"
"E01003033","140"
"E01003027","140"
"E01003058","141"
"E01003054","141"
"E01003062","142"
"E01001164","142"
"E01003090","143"
"E01003088","143"
"E01003096","143"
"E01003107","144"
"E01003102","144"
"E01003109","144"
"E01003131","145"
"E01003117","145"
"E01003147","146"
"E01003115","146"
"E01003152","147"
"E01003083","147"
"E01003155","145"
"E01003167","148"
"E01003165","148"
"E01003170","149"
"E01003169","149"
"E01003173","150"
"E01003172","150"
"E01003176","151"
"E01003021","151"
"E01003219","152"
"E01003218","152"
"E01003272","153"
"E01003214","153"
"E01003277","154"
"E01003213","154"
"E01003304","155"
"E01003303","155"
"E01003315","156"
"E01003262","156"
"E01003356","157"
"E01003355","157"
"E01003364","158"
"E01003363","158"
"E01003389","159"
"E01003379","159"
"E01003428","160"
"E01003384","160"
"E01003443","161"
"E01003404","161"
"E01003458","162"
"E01003358","162"
"E01003360","162"
"E01003459","162"
"E01003461","163"
"E01003401","163"
"E01003477","162"
"E01003400","162"
"E01003531","164"
"E01003520","164"
"E01003534","165"
"E01003529","165"
"E01003567","166"
"E01003562","166"
"E01003573","167"
"E01003569","167"
"E01003587","168"
"E01003584","168"
"E01003629","169"
"E01003522","169"
"E01003650","170"
"E01003638","170"
"E01003680","171"
"E01003649","171"
"E01003728","172"
"E01003577","172"
"E01003747","173"
"E01003745","173"
"E01003775","174"
"E01003673","174"
"E01003801","104"
"E01003830","175"
"E01003813","175"
"E01003837","176"
"E01003011","176"
"E01003835","176"
"E01003857","177"
"E01003854","177"
"E01003859","178"
"E01003804","178"
"E01003874","179"
"E01003861","179"
"E01003873","179"
"E01003875","180"
"E01003863","180"
"E01003893","181"
"E01003868","181"
"E01003901","182"
"E01003899","182"
"E01003917","183"
"E01003915","183"
"E01003926","184"
"E01003924","184"
"E01003935","185"
"E01003934","185"
"E01003939","185"
"E01003927","185"
"E01003929","185"
"E01003938","185"
"E01003958","186"
"E01003949","186"
"E01003980","187"
"E01003966","187"
"E01003997","188"
"E01003993","188"
"E01003998","188"
"E01003999","188"
"E01004015","189"
"E01003955","189"
"E01004032","190"
"E01004029","190"
"E01004051","183"
"E01004052","191"
"E01004049","191"
"E01004053","190"
"E01004056","192"
"E01004054","192"
"E01004075","193"
"E01004069","193"
"E01004080","194"
"E01004078","194"
"E01004087","195"
"E01004084","195"
"E01004111","196"
"E01004110","196"
"E01004174","197"
"E01004170","197"
"E01004202","198"
"E01004199","198"
"E01004211","199"
"E01004203","199"
"E01004232","200"
"E01004229","200"
"E01004246","201"
"E01004242","201"
"E01004280","202"
"E01004274","202"
"E01004281","203"
"E01004276","203"
"E01004294","204"
"E01004293","204"
"E01004297","190"
"E01004304","205"
"E01004302","205"
"E01004310","206"
"E01004306","206"
"E01004315","207"
"E01001777","207"
"E01004316","207"
"E01004317","207"
"E01004314","207"
"E01004378","208"
"E01004348","208"
"E01004382","209"
"E01004379","209"
"E01004390","210"
"E01004389","210"
"E01004412","211"
"E01004405","211"
"E01004473","212"
"E01003156","212"
"E01004475","212"
"E01004476","213"
"E01004472","213"
"E01004478","214"
"E01004477","214"
"E01004480","215"
"E01003161","215"
"E01004507","216"
"E01004499","216"
"E01004511","216"
"E01004548","217"
"E01004481","217"
"E01004554","214"
"E01004556","214"
"E01004555","214"
"E01004557","218"
"E01004508","218"
"E01004558","218"
"E01004559","219"
"E01004479","219"
"E01004563","220"
"E01004539","220"
"E01004579","221"
"E01004560","221"
"E01004582","221"
"E01004583","222"
"E01004581","222"
"E01004587","223"
"E01003040","223"
"E01004608","224"
"E01004607","224"
"E01004621","225"
"E01004514","225"
"E01004625","226"
"E01004619","226"
"E01004634","227"
"E01004633","227"
"E01004636","228"
"E01003464","228"
"E01004640","224"
"E01004651","229"
"E01004650","229"
"E01004653","230"
"E01002829","230"
"E01004654","231"
"E01004652","231"
"E01004658","232"
"E01004657","232"
"E01004661","233"
"E01004660","233"
"E01004663","233"
"E01004676","234"
"E01004675","234"
"E01004677","18"
"E01004687","235"
"E01002863","235"
"E01004693","236"
"E01002885","236"
"E01004694","237"
"E01004682","237"
"E01004696","238"
"E01004681","238"
"E01004700","237"
"E01004705","239"
"E01004701","239"
"E01004707","239"
"E01004708","234"
"E01004709","239"
"E01004711","234"
"E01004713","240"
"E01004662","240"
"E01004715","240"
"E01004723","241"
"E01000583","241"
"E01004678","241"
"E01004726","229"
"E01004739","242"
"E01004738","242"
"E01004742","243"
"E01004741","243"
"E01004744","244"
"E01004743","244"
"E01004748","244"
"E01004752","243"
"E01004753","245"
"E01004751","245"
"E01004755","234"
"E01004756","234"
"E01004757","246"
"E01004703","246"
"E01004762","247"
"E01004761","247"
"E01004763","29"
"E01032572","248"
"E01001380","248"
"E01032573","249"
"E01002577","249"
"E01032583","185"
"E01032584","185"
"E01032623","250"
"E01004093","250"
"E01032639","251"
"E01003108","251"
"E01032646","252"
"E01032637","252"
"E01032739","1"
"E01000005","1"
"E01032740","253"
"E01000914","253"
"E01032767","204"
"E01032768","254"
"E01004258","254"
"E01032773","203"
"E01032770","203"
"E01032775","203"
"E01032782","203"
"E01032785","255"
"E01004233","255"
"E01032786","256"
"E01004234","256"
"E01032790","257"
"E01032789","257"
"E01032834","258"
"E01003976","258"
"E01033093","216"
"E01033099","257"
"E01004580","257"
"E01033133","259"
"E01032788","259"
"E01033135","216"
"E01033146","260"
"E01001492","260"
"E01033207","261"
"E01003104","261"
"E01033489","69"
"E01002724","69"
"E01033490","69"
"E01033594","262"
"E01004686","262"
"E01033596","29"
"E01033600","239"
"E01033604","262"
"E01033605","263"
"E01004702","263"
"E01033607","231"
"E01033608","239"
"E01033704","264"
"E01001762","264"
"E01033706","207"
"E01033708","265"
