"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"1",1,1059,6.24191660471997,4.23310749577646,381,7.20168220482841,4.88241512524779,928,7.46588015301995,4.59874677092212,337,8.58586507867962,5.46790336385757,751,7.25298230162523,4.70457920302792,243,8.19833447418055,5.74588996210855,788,7.17661908684489,4.95605461862035,263,7.89654936705132,5.22968178320096,1011,7.14650546673223,4.73960938185485,326,8.93548787511255,6.27129333956723,959,7.81469093048035,4.98306075553581,336,8.12851589764481,5.18275389985731,968,7.10191856264136,4.69264882391909,335,7.17679101014138,4.56461283194644,1061,7.67867246183729,4.86546218221015,388,8.98239122271466,6.11024855621892,1366,7.35672597584449,4.03692396713494,490,9.33255317883451,6.74269306379376
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7.97165369497477,5.29023913055345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10.6125298787464,8.29503492805179,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,24,7.63115996702229,4.73289368778437,18,6.01145491858616,4.67200405905088,25,8.20658312640327,8.80288140337336,21,7.72255935479043,4.83111363621236,13,8.69920013944904,9.43753992870987,16,10.2741342960577,9.77764894320834,13,9.19274140840802,11.1829984404328,22,8.79138772391531,7.81087184441883,28,5.21348751629526,2.71982888309988,25,5.91559890188048,4.06003161161144,20,5.97072415946687,4.56941873332587,18,7.62705151392501,6.38396763501644,22,4.48219975707954,2.71639584636071,15,4.60487314126407,3.85934407222303,41,7.748909542255,4.75789456597967,20,4.51753772940763,2.52546495089485,49,11.5934026908075,13.8313982638132,19,10.4532893837204,11.962077003977
"10",10,27,5.58068990809095,4.34396012896579,13,8.88519311607453,5.03705346507067,30,10.6797400272943,8.45665785041874,NA,NA,NA,19,7.22574215417442,5.74588996210855,11,6.5924948041145,5.33262746984546,28,12.2110015606505,8.92083786129016,NA,NA,NA,19,9.9352393133689,5.11985403227904,12,11.5907437965522,9.18281767728224,22,9.78961893585556,7.06047072913737,10,14.3121606845157,12.9540125218597,28,7.30527049736721,5.0483625847065,11,4.82325824921426,1.41201190525283,26,12.4098527465738,10.9952974706957,13,12.7038912943306,4.76189515443938,52,12.1057224484424,10.6557845147681,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,18,7.66031999199383,3.9002808124756,14,8.13629623774939,4.70737549266792,11,8.0575223567615,5.32046503374892,11,5.67910955992843,3.23488539415417,NA,NA,NA,17,9.86270291574726,5.24576965916275,NA,NA,NA,14,8.68825816632689,5.75432976116804,15,6.75398323965194,4.27385199538827,11,8.22270557841824,8.09385428119097,14,5.29953123763682,4.80951635105119,16,4.92347474151412,3.70193128611382,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,9.31727859499452,6.06265964415184,12,5.45259001658975,5.11026808579239,NA,NA,NA
"15",15,NA,NA,NA,NA,NA,NA,14,6.01510549610872,2.18242333687175,12,6.84286515511118,5.10244948892271,NA,NA,NA,NA,NA,NA,15,10.1601826016083,8.07835985517128,NA,NA,NA,17,7.20494719204842,4.32627079514401,NA,NA,NA,16,7.38746232939917,4.48806997844752,12,7.25191298726557,4.38032402340164,16,7.52976841794837,5.17392533171938,NA,NA,NA,19,8.32384218839028,4.90876893242719,NA,NA,NA,24,8.30629673035371,7.16270658956367,NA,NA,NA
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.99430676415909,1.84792111934103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,10,6.41155369166343,5.58508116505073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13.3009376012648,13.1923283557741,NA,NA,NA,12,6.48585668564752,3.68578795912989,NA,NA,NA,12,4.89275358116375,4.32615129383437,NA,NA,NA,15,8.50488317008264,8.12746593463086,NA,NA,NA,12,6.90829408588857,4.26336467994834,14,5.59525777282955,2.23473605883826
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
