"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"1",1,2194,7.51710950823095,5.64315625732872,1254,8.9759288412227,8.16688882543985,2101,8.10719809395617,6.45297202795749,1097,9.11593978848832,8.25035093149079,1781,8.00835414667696,6.3961638087472,936,9.43148566344822,8.8808713425722,1806,7.73819187523616,6.07503233267484,977,9.66889575846675,9.13653792730739,2183,8.00856500900081,6.27307677977,1096,9.53459920530016,9.10165087218819,2080,8.19097072593684,6.54043787306832,1148,9.49188654584268,8.68277363928099,2165,7.87996840899444,6.00800453266245,1175,8.75135937149189,7.82154133437774,2404,8.02137531024527,6.2887709754745,1266,9.29571108421548,8.17005601332477,2629,8.36137519235156,6.80770082214944,1423,9.09609357518689,8.05338399658655
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,13,7.7363702132993,3.04202031246222,11,10.7228402800602,9.74652055882852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6.96161597914044,4.00130427850711,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6.68077588844997,5.25232421887092,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,11,7.2592008044511,3.05162521265289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5.48544688878997,1.07178927507331,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2.70913995436729,1.05905485347094,NA,NA,NA,13,7.16244689789951,1.64422481959532,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,12,2.36618582096561,2.57701570519369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,20,6.75342502615912,3.82677035386437,10,6.73520035186829,4.76625148445678,16,10.0765722412897,10.2230489412619,12,3.47786662406203,2.88006030077598,12,6.12438350454052,4.57785125959211,13,8.44445859754277,6.57684963383859,20,10.053665918488,5.76386315082128,NA,NA,NA,25,7.50063647967897,4.05354045704969,NA,NA,NA,24,9.261715281543,8.13545206428123,12,6.14801538476756,2.56449670403052,17,7.97781464135835,6.67796463631929,NA,NA,NA,13,7.48362973873604,4.10527702228693,13,6.51614850556055,2.17626127728057,12,7.80646055153854,5.1471754194657,20,5.93125188229377,2.81001265881391
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,32,4.55089195366555,2.92945223692957,17,6.83506541400208,2.91657164645685,28,7.43508190147669,4.86416803253118,NA,NA,NA,25,5.10335634335049,4.10518593906254,18,7.2697183850453,5.17602892126008,21,6.24925294889714,3.30181460118192,NA,NA,NA,32,5.51180671276777,3.66419068806908,11,5.49952795502499,3.96956334288956,24,6.91990341453185,3.98528547271716,10,13.0713865778798,13.1083423844129,28,6.84113463933375,4.11862732334511,10,8.21092169623107,3.90583790830817,44,6.45853647254026,4.19074099202928,12,7.63422369434294,4.54878373005814,54,9.62693841288795,7.36693836996142,NA,NA,NA
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,15,8.38844235100383,9.7096058786046,10,7.9080648072566,9.13006823765527,18,6.57785191737422,4.77031201004262,14,5.1271485261045,3.91769215754489,10,5.57330572032535,5.12023489632825,13,5.02023083736979,3.42364648585001,10,2.60499325639438,2.16372164705622,NA,NA,NA,16,6.48190507714359,6.72363050837527,NA,NA,NA,18,9.91901921351853,6.49812210313453,11,7.47243108872326,6.41362955369161,16,6.15015203187447,5.02714640387132,11,8.23637501721927,8.97043779874326,17,6.36002530770029,4.77798770322461,13,8.12611817484168,6.64388453145041,20,5.84507369104789,3.97180581172042,15,5.16843820291912,3.44201251983751
"19",19,NA,NA,NA,NA,NA,NA,10,7.67986083771071,3.69404062243929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.04859243581087,2.3418309061888,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3.56112872190371,2.20249395800436,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7.1870746673904,5.56387739135831,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
