"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"21",21,10,7.92338792156856,8.96326198103057,10,4.96019551117699,3.63295228005039,11,2.70215572936202,1.84072973258584,10,7.76502497806676,8.39922062376863,12,13.9574111033901,14.2134125494561,NA,NA,NA,12,9.61853021604943,7.83412637395472,NA,NA,NA,12,8.51386295768352,5.19422465562647,11,9.89756622444342,5.25624909018453,14,8.42311058758448,5.57256229659019,NA,NA,NA,12,8.93054417007594,9.61153337588065,13,3.74831943139225,2.69361373857524,16,6.07124807592148,4.96082063939953,14,4.2888739633493,3.63677070791262,25,8.23789024281416,8.14486688154034,12,6.63817844417895,4.98985593112701
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5.65049295443219,5.80567621643901,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,23,8.85459999753719,7.31748465182185,17,6.9487054350609,4.11564526545721,12,6.12770860737604,4.07436922779165,NA,NA,NA,12,7.11622088892988,4.48133589972711,12,7.9311444381388,4.92584855229878,10,8.81341881557469,5.81908584060126,NA,NA,NA,12,5.45555070673719,3.94873527219612,10,7.96003200443733,8.36922256751097,12,8.19259536966175,6.70646859542278,10,7.56813030926881,7.16795739931863,16,4.14222592245367,2.02376629237328,19,6.35508020842761,3.69255002261927,27,5.9294662991879,3.77798265113948,15,6.7877450500748,4.24510301046075,28,6.85089867872538,5.00910326998168,17,7.05418244729638,6.29693368782582
"25",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,14,6.22544817768256,5.67712340955268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7.22319896858055,6.5974811197113,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8.70371411299734,5.33861867627209,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5.31268651143252,3.56735608752974,NA,NA,NA,12,11.3426559952267,7.45309988107418,11,9.36593164503942,4.81809568118423
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,12,5.88467921327007,4.28205055791647,10,10.6323970156898,4.90053865458219,13,5.81969011640278,3.91422110455947,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.49908627676123,3.25636585762563,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5.67946353244325,1.85120668381869,NA,NA,NA,10,6.2106901191653,2.29027631834892,NA,NA,NA,14,5.62200996060491,4.29566391224783,10,6.23926527873602,4.70670130279159,NA,NA,NA,NA,NA,NA
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,12,8.46649534470218,1.74021794708518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10.7948010003898,5.32978208307585,NA,NA,NA,NA,NA,NA,13,6.10539579935491,2.47007001179199,NA,NA,NA,10,4.1135261292006,3.31076386471088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6.02842429221729,2.18438184722597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,119,8.48593182908043,7.76715341442855,48,7.76219125782574,6.15809167716916,111,6.7757113210936,4.69916968450931,49,7.29486070951124,6.08409810188641,76,6.90979076770654,6.00122531100458,37,7.63632961922923,5.77004938160795,93,8.09113625690793,6.64829331952987,52,9.20896889809408,5.93864282896117,102,7.65349902372588,5.55400271851236,55,8.65782773624797,7.22586083812836,90,8.9134583386584,7.50304377102147,51,8.44409356309726,6.95681595254921,112,8.04204394778713,5.52519244806716,47,8.4006864323335,7.63589964445622,105,7.19994221139182,5.08293059762203,65,7.48464099593779,6.13258372655479,100,7.30285110248972,5.64920092121923,69,7.89015429770058,4.94904396928352
"34",34,40,6.38113594012664,4.44788580966279,17,9.30714763775107,6.14307564114147,20,6.32166276255784,4.47446674891603,15,7.32759344553404,7.07726669967815,19,8.8926608209646,8.71728356419336,NA,NA,NA,30,6.15700292434968,5.34856443712957,14,10.6974884795043,10.749015117181,23,5.97414808251283,4.35757426003969,NA,NA,NA,21,7.84684391628094,6.25650879792262,12,5.61270790613213,3.78446889124157,22,11.1723441313128,6.54225382286626,NA,NA,NA,30,7.2873873675347,6.4229124502812,13,8.77960277860947,6.30223782515073,30,8.27331162638788,6.71331558947759,13,10.9370274823253,9.56824537312286
"35",35,151,6.89395233229829,4.2911637799783,88,8.53444036771288,6.18770069409169,126,8.19772541840031,5.65189859714544,80,8.7793668988853,5.98394894231063,119,8.43270209671224,5.82558044045241,58,8.91395829444317,7.5901317023677,123,8.54106996580083,6.31559443308167,63,7.83822027285284,5.83338420948308,154,9.28987349554909,6.77724123286432,83,8.82191099424108,6.82189431088464,134,8.12905142576096,7.08679985128702,96,8.38397024979129,6.06452134037863,136,9.41992025547734,6.28908717177872,62,10.6499773764322,9.52515769733591,126,8.69748422684435,6.13898226032644,84,8.7694271621678,6.7829082973541,163,8.31184915263217,5.63805787694274,94,7.13438766273005,6.13594466605231
"36",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,19,5.35860237360825,2.71178745492904,17,8.4577590301031,7.22546639316436,16,8.00638896066229,3.69699200805219,NA,NA,NA,12,5.43992483119812,1.46456445013045,NA,NA,NA,20,6.7336570994572,4.20895376582316,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4.4706253566226,3.04964314038825,NA,NA,NA,18,7.48395970658593,5.57846725548425,10,3.34310210095389,1.86327384608426,23,4.85102911143927,3.37963925607217,NA,NA,NA,19,7.26438718312071,3.44517347220404,11,8.15943407167518,6.00722768225993
"38",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,NA,NA,NA,NA,NA,NA,11,3.79558082688497,1.82245474147166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8.1923593071659,5.76350092411857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.22542361914674,2.31297628825662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7.05140040974657,5.78063249453835,NA,NA,NA
"49",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,14,5.28337344705246,3.11467276308154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,10,5.73855682724567,5.38609822578536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,12,4.51104583604044,3.21145201924011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8.68733765261435,5.46608774940009,10,5.67183737648646,2.12904914683753,NA,NA,NA,NA,NA,NA
"54",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,11,9.29127730545798,7.1810956861033,NA,NA,NA,15,8.50503327545588,5.95835444893277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,8.12878337320751,5.24725385845528,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.74049227962918,3.57333436838142,NA,NA,NA
"56",56,14,7.63153075210153,6.62383758253181,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,7.1854569623298,6.01098494336921,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6.05720304404353,3.85368298956108,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9.20713082725908,5.32750010121678,NA,NA,NA,18,6.09106053296563,4.96008882142234,NA,NA,NA,19,7.47256798390459,2.97152457973153,10,5.51206589539397,3.16418594447594
"57",57,17,5.53687424211773,5.96442312940487,10,6.67278714820547,4.96194468995086,19,6.32522819401066,3.71040299685405,NA,NA,NA,11,5.35973179233309,2.91428565570322,NA,NA,NA,13,7.85360559706086,5.96678663891494,NA,NA,NA,10,6.4143547189816,3.82726130205549,NA,NA,NA,20,8.31130181849853,5.9635505836006,NA,NA,NA,14,7.14370389151418,5.22665433611953,12,9.09854026924249,9.22933276946398,19,4.11563368010939,2.17626127728057,NA,NA,NA,27,7.50565786559021,3.34677321479933,11,4.67437636466218,1.72151064807515
"58",58,12,5.60420813433968,5.38244949007187,NA,NA,NA,10,5.25187768187086,1.71123980802162,12,9.13837489446722,3.82787125270767,12,8.60289130697297,7.11389898502432,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,9.95903616727984,10.6076238370709,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4.76474381133627,2.67011837856673,NA,NA,NA,21,9.16913117935898,6.51792296007717,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
