"id_point","id_cluster"
"E01000002","1"
"E01000001","1"
"E01000005","1"
"E01000012","2"
"E01000007","2"
"E01000049","3"
"E01000044","3"
"E01000059","4"
"E01000014","4"
"E01000068","3"
"E01000042","3"
"E01000073","4"
"E01000024","4"
"E01000074","4"
"E01000041","4"
"E01000078","4"
"E01000020","4"
"E01000077","4"
"E01000080","5"
"E01000062","5"
"E01000084","6"
"E01000013","6"
"E01000085","7"
"E01000053","7"
"E01000092","8"
"E01000043","8"
"E01000102","4"
"E01000100","4"
"E01000105","7"
"E01000106","9"
"E01000104","9"
"E01000108","10"
"E01000036","10"
"E01000117","11"
"E01000116","11"
"E01000122","12"
"E01000118","12"
"E01000123","12"
"E01000127","13"
"E01000126","13"
"E01000128","13"
"E01000130","13"
"E01000131","13"
"E01000140","1"
"E01000135","1"
"E01000145","1"
"E01000136","1"
"E01000144","1"
"E01000161","12"
"E01000165","14"
"E01000163","14"
"E01000169","15"
"E01000166","15"
"E01000170","11"
"E01000171","11"
"E01000175","16"
"E01000173","16"
"E01000179","1"
"E01000178","1"
"E01000180","1"
"E01000181","1"
"E01000177","1"
"E01000189","17"
"E01000186","17"
"E01000191","17"
"E01000193","18"
"E01000192","18"
"E01000194","18"
"E01000200","1"
"E01000199","1"
"E01000201","1"
"E01000196","1"
"E01000198","1"
"E01000202","1"
"E01000203","19"
"E01000197","19"
"E01000204","1"
"E01000205","1"
"E01000176","1"
"E01000206","1"
"E01000207","1"
"E01000209","1"
"E01000210","1"
"E01000183","1"
"E01000211","1"
"E01000212","1"
"E01000213","1"
"E01000208","1"
"E01000214","1"
"E01000216","1"
"E01000217","1"
"E01000218","1"
"E01000220","1"
"E01000219","1"
"E01000222","20"
"E01000137","20"
"E01000138","20"
"E01000223","21"
"E01000141","21"
"E01000224","20"
"E01000225","1"
"E01000230","22"
"E01000195","22"
"E01000227","22"
"E01000232","13"
"E01000233","18"
"E01000234","22"
"E01000153","22"
"E01000235","22"
"E01000236","1"
"E01000237","1"
"E01000238","1"
"E01000242","1"
"E01000245","1"
"E01000246","15"
"E01000247","15"
"E01000252","15"
"E01000256","22"
"E01000258","22"
"E01000261","22"
"E01000262","23"
"E01000257","23"
"E01000263","22"
"E01000265","12"
"E01000267","1"
"E01000251","1"
"E01000270","15"
"E01000269","15"
"E01000271","1"
"E01000272","1"
"E01000168","1"
"E01000273","1"
"E01000274","11"
"E01000276","1"
"E01000275","1"
"E01000277","1"
"E01000280","1"
"E01000281","1"
"E01000266","1"
"E01000282","1"
"E01000284","1"
"E01000286","24"
"E01000285","24"
"E01000288","15"
"E01000292","25"
"E01000250","25"
"E01000268","25"
"E01000293","26"
"E01000249","26"
"E01000294","26"
"E01000295","1"
"E01000296","1"
"E01000297","19"
"E01000299","1"
"E01000300","1"
"E01000301","1"
"E01000302","1"
"E01000303","1"
"E01000304","1"
"E01000309","1"
"E01000311","1"
"E01000313","27"
"E01000148","27"
"E01000310","27"
"E01000314","27"
"E01000315","28"
"E01000184","28"
"E01000317","1"
"E01000278","1"
"E01000318","1"
"E01000319","1"
"E01000320","1"
"E01000321","1"
"E01000322","12"
"E01000329","29"
"E01000328","29"
"E01000338","30"
"E01000332","30"
"E01000345","31"
"E01000342","31"
"E01000346","31"
"E01000348","31"
"E01000350","32"
"E01000343","32"
"E01000351","31"
"E01000352","33"
"E01000347","33"
"E01000355","34"
"E01000327","34"
"E01000361","34"
"E01000357","34"
"E01000363","34"
"E01000364","34"
"E01000366","34"
"E01000368","35"
"E01000326","35"
"E01000370","36"
"E01000325","36"
"E01000369","36"
"E01000385","31"
"E01000382","31"
"E01000390","34"
"E01000388","34"
"E01000392","37"
"E01000360","37"
"E01000399","38"
"E01000395","38"
"E01000396","38"
"E01000409","39"
"E01000391","39"
"E01000413","40"
"E01000341","40"
"E01000412","40"
"E01000414","37"
"E01000418","41"
"E01000417","41"
"E01000420","30"
"E01000334","30"
"E01000424","31"
"E01000425","31"
"E01000426","31"
"E01000423","31"
"E01000436","42"
"E01000359","42"
"E01000437","42"
"E01000358","42"
"E01000438","36"
"E01000439","43"
"E01000333","43"
"E01000440","44"
"E01000421","44"
"E01000441","36"
"E01000403","36"
"E01000443","31"
"E01000446","31"
"E01000449","45"
"E01000448","45"
"E01000452","34"
"E01000453","34"
"E01000454","46"
"E01000450","46"
"E01000456","34"
"E01000459","47"
"E01000428","47"
"E01000461","31"
"E01000462","32"
"E01000463","31"
"E01000464","41"
"E01000474","48"
"E01000471","48"
"E01000475","49"
"E01000472","49"
"E01000478","49"
"E01000477","49"
"E01000486","13"
"E01000479","13"
"E01000480","13"
"E01000493","1"
"E01000488","1"
"E01000492","1"
"E01000499","50"
"E01000498","50"
"E01000504","1"
"E01000505","1"
"E01000506","50"
"E01000507","1"
"E01000514","13"
"E01000522","1"
"E01000524","51"
"E01000521","51"
"E01000530","1"
"E01000532","1"
"E01000534","1"
"E01000540","52"
"E01000536","52"
"E01000539","52"
"E01000543","53"
"E01000517","53"
"E01000546","1"
"E01000490","1"
"E01000547","1"
"E01000549","1"
"E01000555","1"
"E01000142","1"
"E01000558","1"
"E01000489","1"
"E01000559","1"
"E01000495","1"
"E01000560","1"
"E01000565","54"
"E01000562","54"
"E01000572","55"
"E01000538","55"
"E01000563","55"
"E01000574","55"
"E01000575","56"
"E01000564","56"
"E01000576","13"
"E01000487","13"
"E01000580","1"
"E01000581","1"
"E01000582","1"
"E01000583","1"
"E01000550","1"
"E01000584","1"
"E01000585","1"
"E01000586","1"
"E01000531","1"
"E01000587","13"
"E01000588","13"
"E01000591","53"
"E01000593","13"
"E01000604","57"
"E01000596","57"
"E01000607","55"
"E01000608","56"
"E01000609","58"
"E01000567","58"
"E01000610","58"
"E01000611","54"
"E01000606","54"
"E01000613","59"
"E01000571","59"
"E01000615","60"
"E01000601","60"
"E01000619","61"
"E01000616","61"
"E01000623","13"
"E01000518","13"
"E01000624","13"
"E01000622","13"
"E01000625","13"
"E01000483","13"
"E01000626","13"
"E01000629","13"
"E01000634","56"
"E01000638","62"
"E01000508","62"
"E01000639","1"
"E01000641","63"
"E01000512","63"
"E01000642","64"
"E01000556","64"
"E01000644","1"
"E01000535","1"
"E01000650","65"
"E01000649","65"
"E01000652","66"
"E01000648","66"
"E01000653","67"
"E01000645","67"
"E01000657","68"
"E01000656","68"
"E01000659","68"
"E01000665","69"
"E01000662","69"
"E01000667","70"
"E01000666","70"
"E01000669","71"
"E01000647","71"
"E01000668","71"
"E01000679","66"
"E01000683","72"
"E01000681","72"
"E01000690","73"
"E01000689","73"
"E01000694","65"
"E01000695","67"
"E01000696","67"
"E01000697","65"
"E01000701","74"
"E01000700","74"
"E01000707","75"
"E01000703","75"
"E01000713","75"
"E01000673","75"
"E01000712","75"
"E01000715","75"
"E01000716","75"
"E01000717","75"
"E01000725","76"
"E01000721","76"
"E01000743","77"
"E01000705","77"
"E01000744","78"
"E01000704","78"
"E01000745","1"
"E01000741","1"
"E01000752","79"
"E01000682","79"
"E01000767","80"
"E01000763","80"
"E01000764","80"
"E01000766","80"
"E01000783","81"
"E01000691","81"
"E01000784","73"
"E01000786","76"
"E01000685","76"
"E01000788","82"
"E01000727","82"
"E01000792","76"
"E01000793","72"
"E01000797","75"
"E01000802","1"
"E01000805","83"
"E01000800","83"
"E01000808","84"
"E01000732","84"
"E01000810","84"
"E01000814","84"
"E01000824","85"
"E01000820","85"
"E01000822","85"
"E01000825","86"
"E01000646","86"
"E01000671","86"
"E01000826","75"
"E01000772","75"
"E01000828","75"
"E01000678","75"
"E01000829","75"
"E01000831","75"
"E01000833","75"
"E01000834","80"
"E01000836","75"
"E01000840","87"
"E01000839","87"
"E01000841","88"
"E01000760","88"
"E01000848","1"
"E01000843","1"
"E01000849","1"
"E01000842","1"
"E01000851","1"
"E01000850","1"
"E01000852","1"
"E01000854","1"
"E01000855","1"
"E01000856","1"
"E01000845","1"
"E01000857","1"
"E01000860","1"
"E01000861","1"
"E01000859","1"
"E01000862","1"
"E01000863","1"
"E01000858","1"
"E01000866","1"
"E01000865","1"
"E01000869","1"
"E01000864","1"
"E01000871","1"
"E01000139","1"
"E01000872","63"
"E01000873","1"
"E01000875","1"
"E01000557","1"
"E01000876","1"
"E01000561","1"
"E01000877","1"
"E01000874","1"
"E01000878","1"
"E01000880","1"
"E01000881","1"
"E01000844","1"
"E01000882","1"
"E01000883","1"
"E01000879","1"
"E01000884","1"
"E01000885","1"
"E01000887","1"
"E01000888","1"
"E01000891","1"
"E01000867","1"
"E01000892","1"
"E01000893","1"
"E01000894","1"
"E01000847","1"
"E01000896","1"
"E01000897","1"
"E01000898","1"
"E01000899","1"
"E01000900","1"
"E01000902","1"
"E01000870","1"
"E01000903","1"
"E01000904","1"
"E01000906","1"
"E01000910","1"
"E01000886","1"
"E01000911","1"
"E01000907","1"
"E01000909","1"
"E01000913","1"
"E01000915","1"
"E01000917","1"
"E01000918","1"
"E01000919","1"
"E01000922","1"
"E01000923","1"
"E01000924","1"
"E01000925","1"
"E01000921","1"
"E01000926","1"
"E01000927","1"
"E01000928","1"
"E01000929","1"
"E01000930","1"
"E01000548","1"
"E01000932","1"
"E01000933","1"
"E01000934","1"
"E01000935","1"
"E01000936","1"
"E01000941","1"
"E01000938","1"
"E01000942","1"
"E01000939","1"
"E01000943","1"
"E01000945","1"
"E01000947","1"
"E01000948","1"
"E01000949","1"
"E01000952","1"
"E01000954","1"
"E01000956","1"
"E01000957","1"
"E01000958","1"
"E01000960","1"
"E01000961","1"
"E01000962","1"
"E01000964","1"
"E01000965","1"
"E01000966","1"
"E01000967","1"
"E01000968","1"
"E01000969","1"
"E01000970","1"
"E01000971","1"
"E01000973","1"
"E01000972","1"
"E01000979","89"
"E01000975","89"
"E01000982","89"
"E01000981","89"
"E01000983","90"
"E01000976","90"
"E01000986","90"
"E01000987","90"
"E01000992","91"
"E01000991","91"
"E01000993","90"
"E01001003","92"
"E01001001","92"
"E01001004","92"
"E01001011","93"
"E01001005","93"
"E01001013","93"
"E01001019","94"
"E01001015","94"
"E01001026","95"
"E01001024","95"
"E01001025","95"
"E01001030","96"
"E01001028","96"
"E01001038","97"
"E01001035","97"
"E01001039","98"
"E01001033","98"
"E01001040","99"
"E01001034","99"
"E01001047","99"
"E01001048","100"
"E01001042","100"
"E01001050","101"
"E01001044","101"
"E01001046","101"
"E01001062","90"
"E01001074","102"
"E01001029","102"
"E01001086","103"
"E01001083","103"
"E01001087","93"
"E01000995","93"
"E01001085","93"
"E01001090","103"
"E01001091","104"
"E01001089","104"
"E01001093","99"
"E01001096","98"
"E01001098","98"
"E01001067","98"
"E01001099","105"
"E01001068","105"
"E01001073","105"
"E01001100","99"
"E01001104","98"
"E01001101","98"
"E01001107","98"
"E01001108","98"
"E01001110","106"
"E01001012","106"
"E01001111","93"
"E01001121","107"
"E01001105","107"
"E01001122","98"
"E01001132","108"
"E01000985","108"
"E01001138","1"
"E01000746","1"
"E01001140","1"
"E01001137","1"
"E01001143","78"
"E01001148","92"
"E01001150","1"
"E01001152","109"
"E01001000","109"
"E01001154","93"
"E01001156","1"
"E01001157","93"
"E01001160","110"
"E01000998","110"
"E01001168","111"
"E01001167","111"
"E01001170","99"
"E01001171","99"
"E01001166","99"
"E01001175","110"
"E01001178","112"
"E01001174","112"
"E01001180","113"
"E01001007","113"
"E01001182","93"
"E01001183","93"
"E01001186","90"
"E01001194","90"
"E01000774","90"
"E01001196","114"
"E01001195","114"
"E01001197","114"
"E01001203","1"
"E01001200","1"
"E01001208","1"
"E01001204","1"
"E01001211","1"
"E01001223","1"
"E01001224","1"
"E01001207","1"
"E01001226","1"
"E01001227","1"
"E01001228","1"
"E01001231","1"
"E01001229","1"
"E01001233","1"
"E01001230","1"
"E01001234","1"
"E01001235","1"
"E01001236","1"
"E01001237","1"
"E01001232","1"
"E01001238","114"
"E01001241","1"
"E01001198","1"
"E01001242","1"
"E01001245","1"
"E01001244","1"
"E01001246","49"
"E01000600","49"
