"","X","clusters","birth_2008","death_2008","intra_2008","in_2008","out_2008","n_2008","birth_2009","death_2009","intra_2009","in_2009","out_2009","n_2009","birth_2010","death_2010","intra_2010","in_2010","out_2010","n_2010","birth_2011","death_2011","intra_2011","in_2011","out_2011","n_2011","birth_2012","death_2012","intra_2012","in_2012","out_2012","n_2012","birth_2013","death_2013","intra_2013","in_2013","out_2013","n_2013","birth_2014","death_2014","intra_2014","in_2014","out_2014","n_2014","birth_2015","death_2015","intra_2015","in_2015","out_2015","n_2015","birth_2016","death_2016","intra_2016","in_2016","out_2016","n_2016"
"1",1,1,70525,67611,299710,5081,381,375316,70762,60190,308989,4529,337,384280,183552,189283,189781,3774,243,377107,183217,183515,188383,4550,263,376150,78845,50109,319877,4603,326,403325,72763,62340,334629,4711,336,412103,94169,65236,340665,4656,335,439490,91800,64565,368385,4872,388,465057,98968,68531,388746,5720,490,493434
"2",2,10,18,15,73,NA,NA,96,14,13,79,NA,NA,94,36,42,50,NA,NA,87,31,34,51,NA,NA,83,13,NA,73,NA,NA,90,11,16,71,NA,NA,86,11,12,70,NA,NA,83,14,NA,70,NA,NA,84,12,10,70,NA,NA,90
"3",3,11,37,37,154,12,NA,203,40,26,163,NA,11,212,97,132,76,NA,NA,177,104,106,66,NA,NA,178,31,19,151,10,NA,192,21,36,147,16,NA,184,44,27,145,10,NA,199,37,31,156,NA,NA,201,47,30,159,13,NA,219
"4",4,12,NA,12,41,NA,NA,49,15,NA,39,NA,NA,59,31,32,24,NA,NA,61,33,28,29,NA,NA,65,14,NA,52,NA,NA,69,NA,13,54,NA,NA,63,20,13,47,NA,NA,72,21,14,57,NA,NA,81,25,NA,67,NA,NA,93
"5",5,13,20,12,55,NA,NA,76,17,13,58,NA,NA,78,39,34,40,NA,NA,81,34,39,36,NA,NA,70,31,12,53,NA,NA,87,27,18,62,NA,NA,95,14,23,68,NA,NA,83,25,10,67,NA,NA,97,30,18,74,NA,NA,110
"6",6,14,22,25,101,NA,NA,125,24,15,103,NA,NA,128,65,74,53,NA,NA,122,66,60,58,NA,NA,130,30,12,112,11,NA,153,28,27,121,NA,NA,157,45,32,115,NA,NA,169,31,28,131,NA,NA,165,35,30,129,NA,NA,173
"7",7,15,37,33,182,10,NA,229,30,32,191,10,NA,231,106,116,106,NA,NA,220,110,112,99,NA,NA,216,24,28,183,NA,NA,213,24,25,185,NA,NA,216,35,29,178,NA,NA,217,32,23,185,NA,NA,223,37,36,183,NA,NA,228
"8",8,16,24,18,111,NA,NA,144,20,15,125,NA,NA,149,72,82,62,NA,NA,139,75,70,65,NA,NA,145,24,NA,129,NA,NA,157,22,20,131,NA,NA,162,35,26,131,NA,NA,173,28,21,142,NA,NA,176,29,21,149,NA,NA,185
"9",9,17,410,140,741,42,18,1193,124,172,993,34,21,1151,592,858,266,17,16,875,577,602,245,15,22,837,133,92,711,33,25,877,140,111,735,23,18,898,137,140,733,29,15,899,107,109,761,46,20,914,122,112,770,56,19,948
"10",10,18,151,156,756,33,13,940,124,122,788,35,NA,947,522,543,381,23,11,926,500,525,382,32,NA,914,148,110,775,31,12,954,152,130,796,30,10,978,184,132,813,32,11,1029,167,120,870,31,13,1068,222,163,873,67,NA,1162
"11",11,19,25,34,144,NA,NA,177,25,21,153,NA,NA,183,111,109,65,NA,NA,178,102,107,67,NA,NA,170,37,13,151,NA,NA,194,30,23,169,NA,NA,200,28,26,172,NA,NA,202,35,14,184,NA,NA,220,30,31,183,NA,NA,215
"12",12,2,NA,10,29,NA,NA,42,12,NA,32,NA,NA,48,26,33,14,NA,NA,41,55,28,11,NA,NA,67,63,26,37,NA,NA,100,14,23,77,NA,NA,92,32,NA,79,NA,NA,113,35,55,53,NA,NA,90,34,23,65,NA,NA,102
"13",13,20,15,NA,35,NA,NA,51,NA,14,33,NA,NA,44,25,18,26,NA,NA,51,19,21,27,NA,NA,46,14,NA,37,NA,NA,54,NA,10,40,NA,NA,47,13,11,35,NA,NA,48,21,NA,37,NA,NA,60,14,NA,49,NA,NA,67
"14",14,21,91,109,505,23,14,619,100,83,520,12,11,632,298,322,289,NA,17,594,287,304,276,NA,14,571,109,63,493,16,11,618,84,86,510,16,16,610,148,84,507,NA,NA,663,140,88,553,NA,12,699,145,102,583,16,NA,744
"15",15,22,58,66,304,12,NA,374,54,48,304,18,12,376,225,239,132,13,NA,370,229,215,144,18,NA,391,62,50,328,23,NA,413,90,55,342,20,12,452,87,72,362,21,NA,470,82,70,386,22,NA,490,110,76,394,30,NA,534
"16",16,23,NA,18,48,NA,NA,55,10,NA,46,NA,NA,59,32,34,23,NA,NA,59,34,32,21,NA,NA,58,29,10,45,NA,NA,81,16,17,58,NA,NA,77,37,15,58,NA,NA,100,37,22,74,NA,NA,116,38,18,94,NA,NA,134
