"","X","clusters","birth_2008","death_2008","intra_2008","in_2008","out_2008","n_2008","birth_2009","death_2009","intra_2009","in_2009","out_2009","n_2009","birth_2010","death_2010","intra_2010","in_2010","out_2010","n_2010","birth_2011","death_2011","intra_2011","in_2011","out_2011","n_2011","birth_2012","death_2012","intra_2012","in_2012","out_2012","n_2012","birth_2013","death_2013","intra_2013","in_2013","out_2013","n_2013","birth_2014","death_2014","intra_2014","in_2014","out_2014","n_2014","birth_2015","death_2015","intra_2015","in_2015","out_2015","n_2015","birth_2016","death_2016","intra_2016","in_2016","out_2016","n_2016"
"17",17,24,17,NA,81,NA,NA,100,17,15,77,NA,NA,101,55,54,40,NA,NA,98,48,51,44,NA,NA,96,22,15,76,NA,NA,100,20,15,79,NA,NA,106,19,14,91,NA,NA,115,30,15,93,NA,NA,130,21,18,108,NA,NA,134
"18",18,25,46,42,175,NA,NA,230,40,38,184,NA,NA,227,142,137,84,NA,NA,226,150,141,80,10,NA,240,47,34,195,NA,NA,244,49,49,193,NA,NA,246,56,30,209,NA,NA,268,54,38,227,NA,NA,284,62,44,235,NA,NA,297
"19",19,26,16,15,87,NA,NA,105,22,22,83,11,NA,116,59,58,54,NA,NA,115,54,59,51,NA,NA,107,26,10,94,NA,NA,121,24,28,88,NA,NA,117,25,12,101,NA,NA,132,25,17,106,NA,NA,134,32,18,110,NA,NA,146
"20",20,27,36,21,177,NA,NA,220,47,35,179,NA,NA,231,154,159,67,NA,NA,223,164,158,64,NA,NA,229,40,28,192,15,NA,247,58,34,205,13,NA,276,50,38,225,15,NA,290,47,41,237,16,NA,300,165,34,245,12,14,422
"21",21,28,NA,NA,23,NA,NA,32,14,NA,27,NA,NA,45,23,27,18,NA,NA,43,25,26,17,NA,NA,43,17,NA,30,NA,NA,48,12,11,35,NA,NA,49,10,NA,41,NA,NA,52,19,NA,42,NA,NA,62,22,NA,55,NA,NA,83
"22",22,29,13,13,33,NA,NA,50,19,19,27,NA,NA,50,22,31,15,NA,NA,40,23,23,16,NA,NA,40,17,NA,31,NA,NA,51,18,17,31,NA,NA,50,25,14,33,NA,NA,61,24,12,48,NA,NA,74,31,10,61,NA,NA,94
"23",23,3,83,87,432,23,15,538,62,75,442,23,11,527,299,313,196,22,NA,517,302,301,200,15,NA,517,95,72,427,24,11,546,99,73,450,19,17,568,113,63,488,23,11,624,112,95,503,27,16,642,139,80,545,34,NA,718
"24",24,30,11,10,40,NA,NA,56,19,14,42,NA,NA,64,25,36,28,NA,NA,57,25,24,29,NA,NA,55,19,10,42,NA,NA,63,13,14,48,NA,NA,67,11,12,50,NA,NA,63,24,14,46,NA,NA,77,18,10,55,NA,NA,79
"25",25,31,18,12,38,NA,NA,59,23,NA,52,NA,NA,75,26,38,35,NA,NA,63,25,28,31,NA,NA,63,17,10,45,NA,NA,65,12,16,41,NA,NA,59,23,15,40,NA,NA,67,NA,11,53,NA,NA,62,14,NA,51,NA,NA,69
"26",26,32,NA,NA,36,NA,NA,47,13,NA,37,NA,NA,51,38,38,12,NA,NA,53,39,37,10,NA,NA,50,15,NA,39,NA,NA,54,15,NA,44,NA,NA,60,16,NA,50,NA,NA,68,13,NA,57,NA,NA,71,20,12,58,NA,NA,80
"27",27,33,12,NA,35,NA,NA,50,NA,NA,42,NA,NA,52,20,29,23,NA,NA,43,18,25,17,NA,NA,36,16,NA,29,NA,NA,48,12,NA,37,NA,NA,50,14,NA,39,NA,NA,55,12,12,43,NA,NA,57,NA,11,44,NA,NA,59
"28",28,34,11,NA,30,NA,NA,43,10,NA,32,NA,NA,44,27,26,18,NA,NA,47,28,27,16,NA,NA,47,20,10,34,NA,NA,54,NA,17,33,NA,NA,41,15,NA,30,NA,NA,46,12,10,34,NA,NA,49,13,NA,39,NA,NA,56
"29",29,35,NA,NA,19,NA,NA,26,NA,NA,18,NA,NA,27,NA,14,11,NA,NA,23,11,11,10,NA,NA,22,NA,NA,15,NA,NA,23,NA,NA,18,NA,NA,26,12,NA,20,NA,NA,33,13,NA,27,NA,NA,45,16,NA,38,NA,NA,57
"30",30,36,28,31,89,NA,NA,126,14,14,104,NA,NA,124,64,64,56,NA,NA,122,56,57,61,NA,NA,122,21,NA,108,NA,NA,131,30,26,101,NA,NA,136,39,29,101,NA,NA,143,28,18,120,NA,NA,152,22,24,122,NA,NA,149
"31",31,37,47,53,165,13,NA,225,43,48,171,NA,NA,222,111,117,97,NA,NA,212,111,111,94,NA,NA,212,43,41,157,14,NA,214,44,36,169,12,NA,225,61,29,187,NA,NA,253,54,34,213,NA,NA,274,54,46,208,13,NA,275
"32",32,38,18,14,93,NA,NA,115,15,28,84,NA,NA,104,56,60,36,NA,NA,96,58,59,35,NA,NA,97,45,NA,86,NA,NA,139,26,29,106,NA,NA,136,35,22,109,16,NA,160,40,26,129,NA,NA,175,29,26,129,NA,NA,165
"33",33,39,68,72,419,15,13,502,59,73,413,13,NA,485,288,296,175,NA,NA,469,279,291,167,11,NA,457,64,47,401,18,NA,483,67,58,416,13,NA,496,87,64,423,12,NA,522,75,66,441,12,10,528,83,70,442,12,NA,537
"34",34,4,26,19,99,14,NA,139,35,26,103,NA,NA,146,92,86,56,NA,NA,156,105,99,50,NA,NA,159,35,26,128,NA,NA,164,38,26,129,NA,NA,175,26,33,131,NA,NA,162,36,19,134,NA,NA,177,45,19,138,10,14,193
"35",35,40,22,28,70,NA,NA,95,16,17,75,NA,NA,98,47,41,56,NA,NA,105,37,45,59,NA,NA,104,14,NA,88,NA,NA,109,24,17,89,NA,NA,118,24,17,101,NA,NA,129,17,25,103,NA,NA,125,27,13,111,NA,NA,142
"36",36,41,15,16,76,NA,NA,97,20,10,79,NA,NA,104,33,42,57,NA,NA,96,49,36,58,NA,NA,112,16,18,89,NA,NA,109,14,12,91,NA,NA,108,25,13,90,NA,NA,119,23,11,103,NA,NA,133,31,19,112,15,NA,158
"37",37,42,50,38,150,13,NA,213,23,45,158,15,NA,196,101,101,88,NA,NA,198,89,102,90,NA,NA,183,43,29,150,NA,NA,201,27,31,165,NA,NA,199,32,30,161,NA,NA,202,39,21,176,11,NA,226,39,34,184,10,NA,233
"38",38,43,18,12,104,NA,NA,128,24,22,101,NA,NA,128,54,62,65,NA,NA,124,54,53,66,NA,NA,124,18,NA,115,NA,NA,134,17,18,110,NA,NA,132,17,16,113,NA,NA,136,19,19,115,NA,NA,140,23,22,113,NA,NA,144
"39",39,44,NA,NA,30,NA,NA,33,NA,NA,25,NA,NA,30,21,18,12,NA,NA,33,29,22,NA,NA,NA,40,NA,NA,32,NA,NA,41,NA,NA,31,NA,NA,40,11,12,27,NA,NA,42,14,NA,32,NA,NA,47,10,NA,35,NA,NA,48
"40",40,45,40,48,341,18,NA,399,47,57,321,16,NA,384,258,257,116,NA,NA,382,259,246,122,13,NA,394,56,40,333,15,10,404,49,62,320,22,10,391,63,52,323,19,NA,405,66,44,344,31,NA,441,70,59,360,24,NA,454
"41",41,46,NA,10,99,NA,NA,108,NA,19,87,NA,NA,100,62,61,37,NA,NA,102,66,59,40,NA,NA,108,17,13,93,NA,NA,112,15,10,98,NA,NA,116,16,16,97,NA,NA,118,25,15,99,NA,NA,130,35,20,107,NA,NA,147
"42",42,47,18,24,122,NA,NA,143,29,27,106,NA,NA,139,66,83,49,NA,NA,120,61,69,45,NA,NA,109,26,10,94,NA,NA,122,25,23,92,NA,NA,125,23,22,101,NA,NA,128,41,21,103,NA,NA,150,41,26,116,NA,NA,160
"43",43,48,23,16,50,NA,NA,77,14,12,57,NA,NA,76,25,29,43,NA,NA,71,29,24,41,NA,NA,74,22,10,60,NA,NA,82,25,11,64,NA,NA,93,30,17,73,NA,NA,108,25,20,79,NA,NA,108,31,21,81,NA,NA,121
"44",44,49,12,15,53,NA,NA,69,NA,10,56,NA,NA,66,27,25,40,NA,NA,72,23,26,43,NA,NA,69,13,NA,60,NA,NA,75,18,18,56,NA,NA,78,11,NA,68,NA,NA,82,11,15,62,NA,NA,77,17,NA,65,NA,NA,85
"45",45,5,23,21,123,NA,NA,153,24,15,130,NA,NA,161,57,64,93,NA,NA,155,61,58,96,13,NA,170,37,30,136,NA,NA,181,29,20,150,NA,NA,184,41,23,152,NA,NA,199,25,25,169,NA,NA,202,33,36,161,NA,NA,202
"46",46,50,20,21,72,NA,NA,100,13,11,86,NA,NA,107,55,51,51,NA,NA,109,67,56,48,NA,NA,117,22,11,103,NA,NA,129,23,18,105,NA,NA,133,19,17,108,NA,NA,131,17,19,109,NA,NA,132,17,NA,120,NA,NA,146
"47",47,51,26,34,143,10,NA,179,30,35,137,NA,NA,172,93,84,85,NA,NA,186,91,89,87,NA,10,181,30,18,155,NA,NA,192,35,26,160,10,NA,205,40,43,149,19,NA,208,37,30,167,NA,NA,211,48,35,168,NA,NA,223
"48",48,52,17,15,61,NA,NA,81,12,NA,69,NA,NA,83,47,50,31,NA,NA,79,46,48,28,NA,NA,75,17,NA,66,NA,NA,84,NA,11,73,NA,NA,82,19,NA,71,NA,NA,91,15,15,74,NA,NA,90,19,12,75,NA,NA,95
"49",49,53,36,36,186,17,NA,239,30,33,197,14,NA,241,140,147,87,NA,NA,233,129,139,88,NA,NA,225,46,27,186,11,NA,243,49,31,198,10,10,257,47,36,216,10,NA,273,44,44,217,13,NA,274,44,27,233,12,11,289
"50",50,54,36,29,122,NA,10,162,28,24,128,NA,NA,164,79,83,71,NA,NA,154,78,89,61,NA,NA,142,22,22,113,NA,NA,141,28,14,123,10,NA,161,24,24,130,NA,NA,158,23,23,126,NA,NA,156,28,22,127,NA,NA,163
"51",51,55,NA,NA,22,NA,NA,32,NA,NA,24,NA,NA,30,10,12,14,NA,NA,26,NA,12,13,NA,NA,21,NA,NA,18,NA,NA,28,NA,NA,20,NA,NA,29,10,NA,21,NA,NA,35,16,NA,28,NA,NA,45,13,13,32,NA,NA,45
"52",52,56,101,130,535,36,24,672,92,98,548,23,16,663,402,408,232,22,16,656,394,416,223,16,NA,633,85,67,537,17,24,639,99,83,533,17,17,649,100,94,534,20,10,654,93,79,542,17,27,652,97,77,544,31,17,672
"53",53,57,22,21,61,NA,NA,90,20,18,68,NA,NA,90,46,41,46,NA,NA,101,67,48,49,NA,NA,120,49,16,95,13,NA,157,27,22,124,12,NA,163,62,22,135,NA,NA,205,93,34,162,17,NA,272,67,68,182,29,16,278
"54",54,58,14,NA,15,NA,NA,30,NA,NA,24,NA,NA,31,NA,18,12,NA,NA,19,NA,NA,12,NA,NA,21,NA,NA,14,NA,NA,22,10,NA,15,NA,NA,26,12,14,10,NA,NA,22,10,NA,15,NA,NA,27,NA,NA,14,NA,NA,21
"55",55,59,28,22,82,15,NA,125,30,23,95,12,NA,137,59,63,66,12,NA,137,55,58,71,NA,NA,129,33,24,92,NA,10,128,30,24,96,NA,NA,132,27,25,105,12,NA,144,26,21,114,14,NA,154,29,20,127,NA,NA,162
"56",56,6,12,NA,52,NA,NA,66,13,13,53,NA,NA,68,23,32,33,NA,NA,57,25,27,29,NA,NA,55,12,NA,47,NA,NA,60,11,NA,51,NA,NA,63,NA,NA,55,NA,NA,66,10,10,53,NA,NA,66,11,13,52,NA,NA,70
"57",57,60,25,17,83,NA,NA,113,14,18,91,NA,NA,108,48,60,47,NA,NA,96,48,54,40,NA,NA,92,19,15,72,NA,NA,91,21,12,76,NA,NA,97,23,11,81,NA,NA,106,25,20,86,NA,NA,114,25,NA,107,NA,NA,134
"58",58,61,24,14,65,NA,NA,97,20,20,73,NA,NA,96,36,39,55,NA,NA,95,35,39,50,NA,NA,88,33,11,73,NA,NA,110,22,19,89,NA,NA,114,32,28,80,NA,NA,119,30,32,85,NA,NA,121,36,14,101,NA,NA,141
"59",59,62,10,NA,14,NA,NA,27,NA,NA,21,NA,NA,29,10,12,13,NA,NA,25,11,13,12,NA,NA,24,NA,NA,20,NA,NA,28,NA,NA,20,NA,NA,30,11,NA,20,NA,NA,32,NA,NA,25,NA,NA,33,13,NA,23,NA,NA,37
"60",60,63,22,20,89,NA,NA,117,13,11,99,NA,NA,118,77,75,41,NA,NA,125,77,78,43,NA,NA,121,25,11,104,NA,NA,135,27,27,107,NA,NA,138,25,39,93,NA,NA,123,20,14,102,NA,NA,129,44,22,105,NA,NA,154
"61",61,64,NA,NA,31,NA,NA,39,NA,11,26,NA,NA,29,15,13,16,NA,NA,32,21,19,12,NA,NA,34,18,NA,28,NA,NA,47,NA,11,30,NA,NA,35,NA,NA,24,NA,NA,34,NA,NA,28,NA,NA,41,12,NA,32,NA,NA,47
"62",62,65,54,62,259,25,NA,338,61,60,265,41,NA,367,163,199,159,16,NA,338,165,167,159,20,NA,344,66,39,299,17,NA,382,56,66,300,NA,10,363,67,47,308,13,NA,388,74,50,323,19,13,416,45,52,349,14,10,408
"63",63,66,55,44,291,NA,13,351,60,61,281,NA,NA,344,215,207,126,NA,10,348,207,232,110,11,NA,328,81,40,281,NA,NA,369,68,56,298,NA,NA,372,80,68,288,13,11,381,80,50,321,NA,NA,410,106,53,333,17,19,456
"64",64,67,20,23,120,NA,NA,143,21,17,124,NA,NA,149,72,80,64,NA,NA,138,81,71,64,NA,NA,147,42,22,119,NA,NA,166,30,25,139,NA,NA,173,39,30,134,NA,NA,178,36,25,150,NA,NA,189,42,30,153,NA,NA,199
"65",65,68,36,11,90,NA,NA,131,20,17,108,NA,NA,130,59,65,60,NA,NA,123,66,67,48,NA,NA,123,31,17,96,NA,NA,130,18,28,95,10,NA,123,34,14,103,NA,NA,142,22,20,120,NA,NA,147,36,25,109,NA,11,150
"66",66,69,17,21,98,NA,NA,123,20,18,97,NA,NA,121,62,72,47,NA,NA,112,59,58,51,NA,NA,113,24,14,92,NA,NA,120,24,22,93,NA,NA,119,32,22,92,NA,NA,128,20,15,106,NA,NA,128,21,NA,116,NA,NA,140
"67",67,7,25,21,127,NA,NA,157,21,20,133,NA,NA,160,116,106,53,NA,NA,170,101,115,50,NA,NA,153,19,10,138,NA,NA,165,22,21,137,NA,NA,168,33,19,143,15,NA,191,35,20,159,NA,NA,203,30,21,175,NA,NA,210
"68",68,70,12,12,44,NA,NA,58,17,NA,50,NA,NA,71,47,54,17,NA,NA,65,51,47,15,NA,NA,68,NA,14,52,NA,NA,65,11,14,49,NA,NA,61,14,NA,50,NA,NA,69,16,NA,57,NA,NA,76,27,14,59,NA,NA,89
"69",69,71,NA,11,39,NA,NA,48,14,NA,39,NA,NA,54,27,32,21,NA,NA,49,30,29,20,NA,NA,51,NA,NA,44,NA,NA,53,10,11,42,NA,NA,54,17,NA,46,NA,NA,66,NA,NA,51,NA,NA,60,15,12,47,NA,NA,64
"70",70,72,19,16,48,NA,NA,72,15,16,54,NA,NA,78,32,27,51,13,NA,96,33,38,57,NA,NA,96,18,15,79,NA,NA,100,15,19,75,NA,NA,96,28,12,77,NA,NA,111,16,15,90,NA,NA,111,36,22,83,NA,NA,122
"71",71,73,NA,NA,41,NA,NA,49,11,NA,38,NA,NA,52,25,32,18,NA,NA,44,29,23,20,NA,NA,49,14,NA,42,NA,NA,61,24,14,44,NA,NA,72,24,13,55,NA,NA,83,32,NA,65,NA,NA,101,30,11,83,10,NA,123
"72",72,74,33,27,87,11,NA,131,37,23,102,NA,NA,148,67,65,78,NA,NA,154,72,65,79,NA,NA,157,30,19,125,NA,NA,162,31,25,131,NA,NA,171,44,23,141,NA,NA,192,41,36,151,10,NA,202,57,27,168,10,NA,235
"73",73,75,64,86,346,28,NA,438,73,39,385,13,NA,471,275,304,148,11,NA,434,299,283,140,17,NA,456,70,57,384,29,10,483,63,62,404,38,NA,505,71,65,419,23,10,513,61,76,421,35,NA,517,58,70,432,27,NA,517
"74",74,76,30,13,52,15,NA,97,36,25,61,10,NA,107,43,50,49,NA,NA,95,53,36,55,12,NA,120,34,16,91,NA,NA,134,37,25,96,12,NA,145,41,33,98,11,NA,150,51,21,118,17,NA,186,56,29,142,13,NA,211
"75",75,8,24,29,160,NA,NA,188,28,19,164,NA,NA,197,122,126,63,NA,NA,190,111,125,60,NA,NA,177,33,22,148,NA,NA,190,29,32,152,NA,NA,184,33,20,155,NA,NA,197,36,20,170,12,NA,218,38,26,184,NA,NA,228
"76",76,9,38,33,226,13,NA,277,28,44,223,14,NA,265,120,121,137,14,NA,271,109,126,130,11,NA,250,51,31,204,10,NA,265,35,33,224,12,NA,271,47,41,225,NA,NA,281,52,34,237,12,NA,301,51,38,255,16,NA,322
